Diet,Scope 1+2 (kton),Scope 3 (kton),Total (kton),S1+2 %,S3 %
Current,1750000,1173189,2923189,59.9%,40.1%
60:40,1531421,1002295,2533716,60.4%,39.6%
70:30,1319387,852504,2171891,60.7%,39.3%
Planetary,1380241,790715,2170956,63.6%,36.4%
