Cijfers tot en met consumptie;;;;;;;;;;;;;;
;;Effect-categorie;Global warming;Terrestrial acidification;Freshwater eutrophication;Marine eutrophication;Land use;Water consumption;Codering NEVO;;;;;
Naam;Eenheid     1 kg;;kg CO2 eq;kg SO2 eq;kg P eq;kg N eq;m2a crop eq;m3;NEVO code;NEVO naam;NEVO productgroep;NEVO name;NEVO productgroup;
Breakfast cereal Cornflakes | Ambient (average) | Cardboard box | No preparation | consumed/NL Economic;;;1,064575892;0,006044966;0,000579518;0,002643543;2,584694696;0,005849758;2081;Ontbijtproduct Cornflakes;Graanproducten en bindmiddelen;Breakfast cereal Cornflakes;Cereals and cereal products;
Pancake prepared w whole milk and margarine | Pan frying | consumed/NL Economic;;;1,852052939;0,008216954;0,000577921;0,002334144;1,646109418;0,017393434;467;Pannenkoek bereid m marg;Graanproducten en bindmiddelen;Pannenkoek bereid m marg;Cereals and cereal products;
Pasta, white | Ambient (long) | Pasta packaging - 1 kg | Boiling | consumed/NL Economic;;;1,969454968;0,00439204;0,000722929;0,001200971;0,758529719;0,024947588;659;Pasta witte gem gekookt;Graanproducten en bindmiddelen;Pasta white av boiled;Cereals and cereal products;
Pasta, with egg | Ambient (long) | Pasta packaging - 1 kg | Boiling | consumed/NL Economic;;;1,847260169;0,004163917;0,000685027;0,001256843;0,818610329;0,024145042;2780;Pasta witte m ei gekookt;Graanproducten en bindmiddelen;Pasta white w egg boiled;Cereals and cereal products;
Rice, white | Ambient (long) | Cardboard box | Boiling | consumed/NL Economic;;;2,389130313;0,00420179;0,000586668;0,000927038;1,564264717;0,238898318;658;Rijst witte gekookt;Graanproducten en bindmiddelen;Rice white boiled;Cereals and cereal products;
Rice, brown | Ambient (long) | Cardboard box | Boiling | consumed/NL Economic;;;2,158118752;0,003727565;0,000526015;0,000826446;1,394384497;0,213376455;1014;Rijst zilvervlies- gekookt;Graanproducten en bindmiddelen;Rice brown boiled;Cereals and cereal products;
Tapioca starch | Ambient (average) | Sugar packaging - 1 kg | No preparation | consumed/NL Economic;;;0,957493084;0,00400168;0,000529076;0,002230725;2,378633289;0,02578833;219;Tapioca;Graanproducten en bindmiddelen;Tapioca;Cereals and cereal products;
Tortilla wrap | Ambient (average) | Plastic foil (LDPE) - 500 gram | Microwave | consumed/NL Economic;;;1,75601319;0,007762102;0,000708517;0,002262179;1,793105435;0,009093218;2359;Wrap/Tortilla;Graanproducten en bindmiddelen;Wrap/Tortilla;Cereals and cereal products;
Coconut copra meal | Ambient (long) | Not packed | No preparation | consumed/NL Economic;;;1,028646013;0,002569106;0,00035778;0,00064624;3,407685956;0,001103375;;;Graanproducten en bindmiddelen;;Cereals and cereal products;
Oat grain | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;1,303948934;0,00634762;0,000669222;0,002610959;3,458770734;0,008442145;;;Graanproducten en bindmiddelen;;Cereals and cereal products;
Sorghum grain | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;0,803671242;0,005265563;0,000456244;0,002391499;2,240915336;0,014699022;;;Graanproducten en bindmiddelen;;Cereals and cereal products;
Triticale grain | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;0,8992515;0,005762655;0,000523217;0,002195584;2,207652204;0,008565572;;;Graanproducten en bindmiddelen;;Cereals and cereal products;
Wheat grain | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;0,818957886;0,005677396;0,000459808;0,002655368;1,694483601;0,004175463;;;Graanproducten en bindmiddelen;;Cereals and cereal products;
Wheat starch | Ambient (average) | Cardboard box | No preparation | consumed/NL Economic;;;1,43829428;0,006316252;0,000626982;0,002706852;1,71916168;0,0086925;;;Graanproducten en bindmiddelen;;Cereals and cereal products;
Endive boiled | Ambient (short) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;1,081154964;0,004649264;0,000638446;0,001348987;0,757272126;0,042439626;8;Andijvie gekookt;Groente;Endive boiled;Vegetables;
Endive raw | Ambient (short) | Plastic foil (LDPE) - 500 gram | Chilled at consumer | consumed/NL Economic;;;0,532704632;0,002923589;0,000381624;0,000900869;0,505590866;0,025840961;7;Andijvie rauw;Groente;Endive raw;Vegetables;
Beans french | Ambient (long) | Food can | Boiling | consumed/NL Economic;;;1,778489361;0,008562151;0,001301655;0,001710545;1,227026572;0,054941305;139;Bonen sperzie- blik/glas;Groente;Beans French tinned;Vegetables;
Beans french | Ambient (long) | Glass jar - 720 ml | Boiling | consumed/NL Economic;;;1,526480098;0,007461888;0,001025591;0,001696281;1,23485603;0,039681921;139;Bonen sperzie- blik/glas;Groente;Beans French tinned;Vegetables;
Beans, green | Ambient (average) | Food can | Boiling | consumed/NL Economic;;;1,908062295;0,009353416;0,001302878;0,001861744;1,346821348;0,06110559;139;Bonen sperzie- blik/glas;Groente;Beans French tinned;Vegetables;
Beans, green | Ambient (average) | Glass jar - 720 ml | Boiling | consumed/NL Economic;;;1,598009751;0,008082268;0,00096715;0,001843308;1,357225061;0,04185585;139;Bonen sperzie- blik/glas;Groente;Beans French tinned;Vegetables;
Beans french frozen | Frozen | Cardboard box | Boiling | consumed/NL Economic;;;1,676634361;0,005768685;0,000993545;0,001425502;1,034673197;0,036452107;954;Bonen sperzie- diepvries gekookt;Groente;Beans French frozen boiled;Vegetables;
Beans french frozen | Frozen | Fruit bucket (LDPE) - 1 kg | Boiling | consumed/NL Economic;;;1,681143844;0,005734031;0,000979539;0,001414168;1,025567533;0,036742683;954;Bonen sperzie- diepvries gekookt;Groente;Beans French frozen boiled;Vegetables;
Beans french | Ambient (short) | Fruit bucket (LDPE) - 1 kg | Boiling | consumed/NL Economic;;;1,05864574;0,005145306;0,0007297;0,00146277;1,070096792;0,032988369;951;Bonen sperzie- gekookt;Groente;Beans French boiled;Vegetables;
Beans french | Ambient (short) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;1,067421385;0,005160852;0,00073269;0,001463041;1,070336996;0,033184892;951;Bonen sperzie- gekookt;Groente;Beans French boiled;Vegetables;
Beans, green | Ambient (average) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;1,1317825;0,005637279;0,00080066;0,001610741;1,176938216;0,036056472;951;Bonen sperzie- gekookt;Groente;Beans French boiled;Vegetables;
Lupins | Ambient (average) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;1,767589626;0,006913027;0,001858961;0,001428226;7,771018957;0,008447359;962;Bonen tuin- gekookt;Groente;Beans broad boiled;Vegetables;
Broccoli | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;1,280845701;0,010041186;0,000989483;0,003976658;1,514230874;0,056540831;920;Broccoli gekookt;Groente;Broccoli boiled;Vegetables;
Broccoli raw | Ambient (short) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;1,773463517;0,011131898;0,001186011;0,004239174;1,615362601;0,064893653;921;Broccoli rauw;Groente;Broccoli raw;Vegetables;
Mushrooms | Ambient (short) | Fruit bucket (LDPE) - 1 kg | Boiling | consumed/NL Economic;;;4,406326821;0,00575043;0,000937831;0,00059898;0,607557725;0,032614064;20;Champignon gekookt;Groente;Mushroom boiled;Vegetables;
Mushrooms | Ambient (short) | Fruit bucket (LDPE) - 1 kg | Pan frying | consumed/NL Economic;;;4,078904063;0,005435708;0,000833456;0,000602697;0,670656043;0,028524998;20;Champignon gekookt;Groente;Mushroom boiled;Vegetables;
Mushrooms | Ambient (short) | Fruit bucket (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;2,400906396;0,003175727;0,000484134;0,000354354;0,361800888;0,01668867;19;Champignon rauw;Groente;Mushroom raw;Vegetables;
Courgettes | Ambient (short) | Not packed | Boiling | consumed/NL Economic;;;3,610626555;0,006057892;0,000773392;0,000672156;0,313845731;0,034249311;966;Courgette gekookt;Groente;Courgettes boiled;Vegetables;
Courgettes raw | Ambient (short) | Not packed | No preparation | consumed/NL Economic;;;2,815339761;0,00493685;0,000563473;0,000583891;0,272255574;0,025974632;922;Courgette rauw;Groente;Courgettes raw;Vegetables;
Peas frozen | Frozen | Cardboard box | Boiling | consumed/NL Economic;;;1,331287875;0,004707422;0,000953974;0,001096207;0,89252582;0,017765912;953;Doperwten diepvries gekookt;Groente;Peas frozen boiled;Vegetables;
Peas and carrots | Ambient (long) | Food can | Boiling | consumed/NL Economic;;;1,975682726;0,007085097;0,001432458;0,001685933;2,669812834;0,03972008;136;Doperwten m wortelen blik/glas;Groente;Peas and carrots tinned;Vegetables;
Peas and carrots | Ambient (long) | Glass jar - 720 ml | Boiling | consumed/NL Economic;;;1,6797737;0,005855564;0,001111308;0,001668516;2,67958668;0,021445745;136;Doperwten m wortelen blik/glas;Groente;Peas and carrots tinned;Vegetables;
Cucumber w skin  | Ambient (short) | Not packed | Chilled at consumer | consumed/NL Economic;;;0,834141766;0,000880092;0,000178395;6,6822E-05;0,032765168;0,008758494;2739;Komkommer m schil rauw;Groente;Cucumber w skin raw;Vegetables;
Cucumber wo skin | Ambient (short) | Not packed | Chilled at consumer | consumed/NL Economic;;;0,881377083;0,000932109;0,000190306;7,08034E-05;0,034599477;0,00925804;27;Komkommer z schil rauw;Groente;Cucumber wo skin raw;Vegetables;
Cauliflower | Ambient (short) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;1,349309741;0,007790978;0,000849658;0,002923626;1,114785664;0,046098543;15;Kool bloem- gekookt;Groente;Cauliflower boiled;Vegetables;
Cauliflower | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;0,937689068;0,007342291;0,000716031;0,002914909;1,110317443;0,041362325;14;Kool bloem- rauw;Groente;Cauliflower raw;Vegetables;
Kale curly | Ambient (short) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;1,300844611;0,006605181;0,000904111;0,002639409;0,694380326;0,03275847;16;Kool boeren- gekookt;Groente;Kale curly boiled;Vegetables;
Kale curly | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;0,713757246;0,004921754;0,000617194;0,00210465;0,551896874;0,022393941;959;Kool boeren- rauw;Groente;Kale curly raw;Vegetables;
Cabbage oxheart boiled | Ambient (short) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;0,983308322;0,00439867;0,000615954;0,001708725;0,450700312;0,022711775;54;Kool spits- gekookt;Groente;Cabbage oxheart boiled;Vegetables;
Cabbage oxheart raw | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;0,459728215;0,003156545;0,000386668;0,001360103;0,356952862;0,014356586;53;Kool spits- rauw;Groente;Cabbage oxheart raw;Vegetables;
Cabbage sauerkraut cooked | Ambient (average) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;0,821384576;0,00326129;0,000473702;0,001224852;0,323785549;0,01752809;74;Kool zuur- gekookt;Groente;Cabbage sauerkraut cooked;Vegetables;
Sweetcorn | Ambient (long) | Food can | Chilled at consumer | consumed/NL Economic;;;1,921544017;0,007979033;0,000968937;0,001887692;2,929746774;0,110028457;2900;Mais blik/glas;Groente;Sweetcorn tinned;Vegetables;
Sweetcorn | Ambient (long) | Food can | No preparation | consumed/NL Economic;;;1,817935182;0,007830609;0,000914589;0,001884165;2,928110606;0,109228652;2900;Mais blik/glas;Groente;Sweetcorn tinned;Vegetables;
Sweetcorn | Ambient (long) | Glass jar - 720 ml | Chilled at consumer | consumed/NL Economic;;;1,701652826;0,006911966;0,000723236;0,001876413;2,935563637;0,097349362;2900;Mais blik/glas;Groente;Sweetcorn tinned;Vegetables;
Sweetcorn | Ambient (long) | Glass jar - 720 ml | No preparation | consumed/NL Economic;;;1,598043991;0,006763542;0,000668888;0,001872886;2,933927469;0,096549557;2900;Mais blik/glas;Groente;Sweetcorn tinned;Vegetables;
Maize | Ambient (average) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;1,425030484;0,004339438;0,000579244;0,001263711;2,00873303;0,067761817;57;Mais suiker- gekookt;Groente;Sweetcorn boiled;Vegetables;
Sweet pepper | Ambient (short) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;3,61774506;0,003790622;0,000479852;0,000338393;0,094022464;0,016911956;2743;Paprika gekookt gem;Groente;Sweet pepper av boiled;Vegetables;
Sweet pepper green boiled | Ambient (short) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;3,61774506;0,003790622;0,000479852;0,000338393;0,094022464;0,016911956;32;Paprika groene gekookt;Groente;Sweet pepper green boiled;Vegetables;
Sweet pepper | Ambient (short) | Plastic foil (LDPE) - 500 gram | Chilled at consumer | consumed/NL Economic;;;2,876078827;0,003027306;0,000346434;0,000289781;0,079236401;0,01123512;2742;Paprika rauw gem;Groente;Sweet pepper av raw;Vegetables;
Sweet pepper red boiled | Ambient (short) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;3,61774506;0,003790622;0,000479852;0,000338393;0,094022464;0,016911956;885;Paprika rode gekookt;Groente;Sweet pepper red boiled;Vegetables;
Sweet pepper red raw | Ambient (short) | Plastic foil (LDPE) - 500 gram | Chilled at consumer | consumed/NL Economic;;;2,876078827;0,003027306;0,000346434;0,000289781;0,079236401;0,01123512;884;Paprika rode rauw;Groente;Sweet pepper red raw;Vegetables;
Leek boiled | Ambient (short) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;0,98612289;0,004508465;0,000565632;0,001686072;0,539843511;0,017884821;37;Prei gekookt;Groente;Leek boiled;Vegetables;
Leek raw | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;0,467605986;0,003285151;0,000350691;0,001358749;0,433622815;0,010627701;562;Prei rauw;Groente;Leek raw;Vegetables;
Tomato puree concentrated tinned | Ambient (long) | Food can | No preparation | consumed/NL Economic;;;0,836408923;0,003781852;0,000629984;0,000558512;0,323728499;0,097630865;141;Puree tomaten- geconcentreerd blik;Groente;Tomato puree concentrated tinned;Vegetables;
Lettuce head | Ambient (short) | Not packed | Chilled at consumer | consumed/NL Economic;;;0,507366392;0,003000599;0,000387106;0,000955601;0,535532783;0,026102549;2346;Sla gem rauw;Groente;Lettuce av raw;Vegetables;
Lettuce head | Ambient (short) | Plastic foil (LDPE) - 500 gram | Chilled at consumer | consumed/NL Economic;;;0,566373151;0,003111292;0,000407723;0,00095748;0,537218076;0,027479681;2346;Sla gem rauw;Groente;Lettuce av raw;Vegetables;
Lettuce  | Ambient (short) | Not packed | Chilled at consumer | consumed/NL Economic;;;0,507366392;0,003000599;0,000387106;0,000955601;0,535532783;0,026102549;46;Sla krop- rauw;Groente;Lettuce butterhead raw;Vegetables;
Lettuce | Ambient (short) | Plastic foil (LDPE) - 500 gram | Chilled at consumer | consumed/NL Economic;;;0,566373151;0,003111292;0,000407723;0,00095748;0,537218076;0,027479681;46;Sla krop- rauw;Groente;Lettuce butterhead raw;Vegetables;
Rocket raw | Ambient (short) | Plastic foil (LDPE) - 500 gram | Chilled at consumer | consumed/NL Economic;;;0,566373151;0,003111292;0,000407723;0,00095748;0,537218076;0,027479681;2736;Sla rucola rauw;Groente;Rocket raw;Vegetables;
Spinach | Ambient (short) | Food can | Boiling | consumed/NL Economic;;;1,943903112;0,010730214;0,001202567;0,003179054;1,274642518;0,0476806;140;Spinazie blik/glas;Groente;Spinach tinned;Vegetables;
Spinach | Ambient (short) | Food can | No preparation | consumed/NL Economic;;;1,532282439;0,010281527;0,001068941;0,003170337;1,270174297;0,042944381;140;Spinazie blik/glas;Groente;Spinach tinned;Vegetables;
Spinach | Ambient (short) | Glass jar - 720 ml | Boiling | consumed/NL Economic;;;1,710225565;0,009683787;0,000945565;0,003166124;1,281644951;0,033698048;140;Spinazie blik/glas;Groente;Spinach tinned;Vegetables;
Spinach | Ambient (short) | Glass jar - 720 ml | No preparation | consumed/NL Economic;;;1,298604892;0,0092351;0,000811938;0,003157407;1,27717673;0,02896183;140;Spinazie blik/glas;Groente;Spinach tinned;Vegetables;
Spinach frozen  | Frozen | Cardboard box | Boiling | consumed/NL Economic;;;2,328710658;0,008988224;0,001296081;0,002903007;1,17526326;0,037471461;146;Spinazie diepvries gekookt;Groente;Spinach frozen boiled;Vegetables;
Spinach | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;0,609058974;0,004802427;0,000477387;0,001888592;0,757749934;0,016870952;51;Spinazie rauw;Groente;Spinach raw;Vegetables;
Brussel sprouts boiled | Ambient (short) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;1,019692689;0,004651499;0,000648972;0,001815366;0,47862198;0,023862959;55;Spruitjes gekookt;Groente;Brussel sprouts boiled;Vegetables;
Bean sprouts | Ambient (short) | Fruit bucket (LDPE) - 1 kg | Boiling | consumed/NL Economic;;;1,365031607;0,001681229;0,00049844;0,000487844;1,770412855;0,024022894;59;Tauge gekookt;Groente;Bean sprouts boiled;Vegetables;
Bean sprouts | Ambient (short) | Fruit bucket (LDPE) - 1 kg | Chilled at consumer | consumed/NL Economic;;;0,851798063;0,001105939;0,000335627;0,000395293;1,449127262;0,016324146;58;Tauge rauw;Groente;Bean sprouts raw;Vegetables;
Tomato | Ambient (short) | Not packed | Boiling | consumed/NL Economic;;;1,877790789;0,002016557;0,000293223;0,000121;0,043515986;0,014790032;2735;Tomaat gekookt gem;Groente;Tomato av boiled;Vegetables;
Tomato | Ambient (short) | Not packed | Chilled at consumer | consumed/NL Economic;;;1,215757549;0,0013271;0,000163002;9,01416E-05;0,03159651;0,008401562;2734;Tomaat rauw gem;Groente;Tomato av raw;Vegetables;
Tomato | Ambient (short) | Not packed | No preparation | consumed/NL Economic;;;1,144006097;0,001224313;0,000125365;8,76992E-05;0,030463427;0,007847678;2734;Tomaat rauw gem;Groente;Tomato av raw;Vegetables;
Sun-dried tomatoes in oil | Ambient (average) | Glass jar - 720 ml | No preparation | consumed/NL Economic;;;7,584477118;0,047723125;0,001365848;0,001485489;6,802547458;0,092845645;2378;Tomaat zongedroogd;Groente;Tomato sun-dried;Vegetables;
Onions | Ambient (average) | Plastic net (LDPE) - 1 kg | Boiling | consumed/NL Economic;;;0,870714949;0,003292941;0,000588359;0,001082864;0,379747804;0,019834848;64;Ui gekookt;Groente;Onions boiled;Vegetables;
Onions raw | Ambient (average) | Plastic net (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;0,371564737;0,002297708;0,000368197;0,000870079;0,303799901;0,012157412;63;Ui rauw;Groente;Onions raw;Vegetables;
Chicory | Ambient (average) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;0,942447323;0,003763293;0,00053099;0,00106856;0,599861432;0,034515625;68;Witlof gekookt;Groente;Chicory boiled;Vegetables;
Chicory raw | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;0,427039416;0,002648243;0,000318697;0,000847971;0,476281758;0,023799666;67;Witlof rauw;Groente;Chicory raw;Vegetables;
Carrots | Ambient (average) | Plastic foil (LDPE) - 500 gram | Boiling | consumed/NL Economic;;;0,760017268;0,002370553;0,000387479;0,000756545;0,274488381;0,014488774;72;Wortel gekookt gem;Groente;Carrot boiled av;Vegetables;
Carrots raw average | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;0,314745983;0,001727959;0,000228871;0,000673093;0,243001739;0,00876537;71;Wortel rauw gem;Groente;Carrot raw av;Vegetables;
Kelp, seaweed | Cooled | Fruit bucket (LDPE) - 1 kg | Chilled at consumer | consumed/NL Economic;;;0,394338552;0,00074124;0,000169154;2,18822E-05;0,007478895;0,004357946;1897;Zeewier kelp rauw;Groente;Seaweed kelp raw;Vegetables;
Hummus, natural | Cooled | Plastic box - 250 gram | Chilled at consumer | consumed/NL Economic;;;3,38593076;0,005462752;0,000990725;0,001259581;9,840240705;0,052863571;3207;Hummus naturel;Hartig broodbeleg;Hummus natural;Savoury bread spreads;
Peanut butter  | Ambient (long) | Glass jar - 720 ml | No preparation | consumed/NL Economic;;;3,777829792;0,005997257;0,000974333;0,001631955;8,27909403;0,07264624;455;Pindakaas;Hartig broodbeleg;Peanut butter;Savoury bread spreads;
Fish salad  | Cooled | Meat packaging (PP) - 1 kg | Chilled at consumer | consumed/NL Economic;;;5,001345905;0,020190908;0,002818893;0,006521051;3,914881208;0,037500005;1496;Salade vis- lunch/borrel;Hartig broodbeleg;Salad fish;Savoury bread spreads;
Gravy 25% fat clear prep w gravypowder | Ambient (long) | Plastic cup - 250 gram | No preparation | consumed/NL Economic;;;1,225479681;0,004265774;0,000465926;0,000825446;2,735257613;0,01973073;2449;Jus 25% vet ongebonden bereid m juspoeder;Hartige sauzen;Gravy 25% fat clear prep w gravy instant powder ;Savoury sauces;
Ketchup curry | Ambient (long) | PET bottle, non returnable | Chilled at consumer | consumed/NL Economic;;;1,475525454;0,005123678;0,000640718;0,00131698;2,377341368;0,016404603;584;Ketchup curry-;Hartige sauzen;Ketchup curry;Savoury sauces;
Ketchup tomato | Ambient (long) | PET bottle, non returnable | Chilled at consumer | consumed/NL Economic;;;1,197774583;0,004446448;0,000657734;0,000769626;0,718269506;0,083000969;462;Ketchup tomaten-;Hartige sauzen;Ketchup tomato;Savoury sauces;
Mayonnaise | Ambient (long) | PET bottle, non returnable | Chilled at consumer | consumed/NL Economic;;;3,47035501;0,012982774;0,001410491;0,003160445;8,335859314;0,018561198;451;Mayonaise;Hartige sauzen;Mayonnaise;Savoury sauces;
Mayonaise, 25% fat | Ambient (long) | PET bottle, non returnable | Chilled at consumer | consumed/NL Economic;;;1,922353794;0,007960022;0,000843895;0,001435472;3,300135285;0,018497337;465;Saus frites- 25% olie;Hartige sauzen;Sauce for chips 25% oil;Savoury sauces;
Oriental sauce, ready-made | Ambient (long) | Glass jar - 125 gram | No preparation | consumed/NL Economic;;;1,782828268;0,009534139;0,001067137;0,00141716;0,786258253;0,045729612;1803;Saus oosterse kant-en-klaar glas/zak;Hartige sauzen;Sauce oriental ready-made in jar/bag;Savoury sauces;
Peanut sauce | Ambient (long) | Plastic box - 250 gram | No preparation | consumed/NL Economic;;;1,477194881;0,004614331;0,000529171;0,001076116;2,299850329;0,035006313;616;Saus sate- kant-en-klaar bereid;Hartige sauzen;Peanut sauce ready to eat;Savoury sauces;
Sate sauce | Ambient (average) | Plastic box - 250 gram | Microwave | consumed/NL Economic;;;1,351629114;0,004170639;0,000484075;0,000964922;2,062548986;0,031579278;616;Saus sate- kant-en-klaar bereid;Hartige sauzen;Peanut sauce ready to eat;Savoury sauces;
Tomato sauce, ready-made | Ambient (long) | Glass jar - 125 gram | No preparation | consumed/NL Economic;;;0,870881662;0,004067306;0,00041651;0,000294114;0,360873496;0,02509533;1524;Saus tomaten- kant-en-klaar glas;Hartige sauzen;Sauce tomato ready made jar;Savoury sauces;
Tomato sauce, ready-made | Ambient (long) | PET bottle, non returnable | No preparation | consumed/NL Economic;;;0,543572029;0,001697637;0,000281179;0,000282973;0,333231877;0,024396646;1524;Saus tomaten- kant-en-klaar glas;Hartige sauzen;Sauce tomato ready made jar;Savoury sauces;
Snack roll puff pastry with Dutch sausage Frikandel | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;2,752266368;0,011460746;0,001041779;0,002661902;3,573640864;0,019302571;3373;Broodje frikandel- bladerdeegbasis;Hartige snacks en zoutjes;Snack roll puff pastry w Dutch sausage Frikandel;Savoury snacks;
Cheese pastry w puff pastry Kaasbroodje | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;4,132960049;0,013760726;0,001063128;0,004413597;4,422208812;0,025658357;2553;Broodje kaas- v bladerdeeg;Hartige snacks en zoutjes;Cheese pastry w puff pastry;Savoury snacks;
Sausage roll, puff pastry | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;4,989773197;0,018568284;0,001478621;0,006446435;6,289319412;0,039475894;266;Broodje saucijzen-;Hartige snacks en zoutjes;Snack sausage roll puff pastry;Savoury snacks;
Crisps potato | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;3,537377932;0,011334655;0,002372776;0,004083933;2,182148675;0,047390373;122;Chips gem;Hartige snacks en zoutjes;Crisps potato av;Savoury snacks;
Crisps tortilla cheese | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;3,16424947;0,009058938;0,001127515;0,001882811;4,957317025;0,082537885;3253;Chips tortilla overige smaken;Hartige snacks en zoutjes;Crisps tortilla several flavours;Savoury snacks;
Sausage, dutch Frikandel | Frozen | Cardboard box | Deep frying | consumed/NL Economic;;;3,964593782;0,0193697;0,001369477;0,00327965;4,705963234;0,034074086;322;Frikandel bereid m vloeibaar frituurvet;Hartige snacks en zoutjes;Sausage Dutch Frikandel deep-fried w liquid fat;Savoury snacks;
Cheese filled snack Kaassouffle | Frozen | Cardboard box | Deep frying | consumed/NL Economic;;;3,246011252;0,009531011;0,001166634;0,003015224;2,687033438;0,02191626;1488;Kaassouffle diepvries onbereid;Hartige snacks en zoutjes;Pastry puff cheese filled frozen unprepared;Savoury snacks;
Chicken nuggets | Frozen | Cardboard box | Deep frying | consumed/NL Economic;;;4,150086795;0,01401035;0,001667564;0,002823967;4,611103557;0,031888593;1644;Kipnuggets bereid in frituurvet;Hartige snacks en zoutjes;Chicken nuggets prepared in frying fat;Savoury snacks;
Chicken nuggets | Frozen | Cardboard box | No preparation | consumed/NL Economic;;;3,119465389;0,010668136;0,00123274;0,002184596;3,266452768;0,022624546;1644;Kipnuggets bereid in frituurvet;Hartige snacks en zoutjes;Chicken nuggets prepared in frying fat;Savoury snacks;
Croquette meat ragout | Frozen | Cardboard box | Deep frying | consumed/NL Economic;;;6,697918524;0,020623324;0,001593383;0,008833538;4,683398073;0,045546634;326;Kroket vlees- bereid m vloeibaar frituurvet;Hartige snacks en zoutjes;Croquette meat ragout deep-fried in liquid fat;Savoury snacks;
Croquette meat ragout | Frozen | Cardboard box | No preparation | consumed/NL Economic;;;5,805804456;0,01796307;0,001321027;0,007867601;3,741124168;0,037795827;2548;Kroket vlees- diepvries onbereid;Hartige snacks en zoutjes;Croquette meat ragout frozen unprep;Savoury snacks;
Spring roll w ham/chicken | Frozen | Cardboard box | Deep frying | consumed/NL Economic;;;2,715355614;0,008890041;0,001146912;0,00202942;2,691153107;0,041576085;2549;Loempia diepvries onbereid;Hartige snacks en zoutjes;Spring roll frozen unprepared;Savoury snacks;
Popcorn puffed, natural | Ambient (average) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;0,757272968;0,0031303;0,000336111;0,001031816;1,65042551;0,051269983;630;Popcorn naturel gepoft z olie;Hartige snacks en zoutjes;Popcorn plain popped wo oil;Savoury snacks;
Cheese 20+ | Cooled | Plastic box - 250 gram | Chilled at consumer | consumed/NL Economic;;;8,450603656;0,030584631;0,001274134;0,009443884;3,693114884;0,069803469;1723;Kaas 20+;Kaas;Cheese 20+;Cheese;
Cheese 30+ average | Cooled | Plastic box - 250 gram | Chilled at consumer | consumed/NL Economic;;;8,6810293;0,03143664;0,001305844;0,009711632;3,79777152;0,071674342;1382;Kaas 30+ gem;Kaas;Cheese 30+ av;Cheese;
Cheese Edam 40+ | Cooled | Plastic box - 250 gram | Chilled at consumer | consumed/NL Economic;;;8,924921378;0,032338443;0,001339408;0,009995029;3,908544453;0,073654552;511;Kaas Edammer 40+;Kaas;Cheese Edam 40+;Cheese;
