Cijfers tot en met consumptie;;;;;;;;;;;;;;
;;Effect-categorie;Global warming;Terrestrial acidification;Freshwater eutrophication;Marine eutrophication;Land use;Water consumption;Codering NEVO;;;;;
Naam;Eenheid     1 kg;;kg CO2 eq;kg SO2 eq;kg P eq;kg N eq;m2a crop eq;m3;NEVO code;NEVO naam;NEVO productgroep;NEVO name;NEVO productgroup;
Bread, multigrain w seeds  | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;1,1558515;0,005360429;0,000596881;0,002179572;1,524725931;0,007894103;2350;Brood meergranen- m diverse zaden gem;Brood;Bread multigrain av w seeds;Bread;
Bread rye dark | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;1,485404681;0,005624931;0,000684974;0,001863239;1,887131617;0,006875146;242;Brood rogge- donker;Brood;Bread rye dark;Bread;
Bread, rye | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;1,485404681;0,005624931;0,000684974;0,001863239;1,887131617;0,006875146;1395;Brood rogge- gem;Brood;Bread rye av;Bread;
Baguette, white | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;1,083719854;0,005144788;0,000558843;0,002155928;1,358042195;0,006955286;2793;Brood stok- wit;Brood;Baguette white;Bread;
Bread brown wheat | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;1,1558515;0,005360429;0,000596881;0,002179572;1,524725931;0,007894103;236;Brood tarwe-;Brood;Bread brown wheat;Bread;
Bread, wholemeal  | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;0,964174606;0,004439919;0,000506431;0,001811036;1,134859626;0,00783478;246;Brood volkoren- gem v fijn en grof;Brood;Bread wholemeal av fine and coarse;Bread;
Bread, white water based | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;1,117910654;0,005283993;0,000587065;0,002197401;1,373546139;0,009488194;248;Brood wit- water;Brood;Bread white water based;Bread;
Roll brown hard | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;1,1558515;0,005360429;0,000596881;0,002179572;1,524725931;0,007894103;2796;Broodje wit hard;Brood;Roll white hard;Bread;
Roll, white hard | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;1,117910654;0,005283993;0,000587065;0,002197401;1,373546139;0,009488194;2795;Broodje wit hard;Brood;Roll white hard;Bread;
Roll, white soft | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;1,117910654;0,005283993;0,000587065;0,002197401;1,373546139;0,009488194;230;Broodje wit zacht;Brood;Roll white soft;Bread;
Croissant marg | Ambient (short) | Plastic foil (LDPE) - 500 gram | No preparation | consumed/NL Economic;;;1,963692318;0,007684657;0,000965258;0,002587317;3,941831286;0,023629148;2818;Croissant gem;Brood;Croissant av;Bread;
Crispbakes Dutch | Ambient (average) | Cardboard box | No preparation | consumed/NL Economic;;;1,927041315;0,008802727;0,000866784;0,00233603;3,531524342;0,018901711;229;Knackebrod gem;Brood;Crispbread averaged;Bread;
Crispbread | Ambient (average) | Paper foil - 250 gram | No preparation | consumed/NL Economic;;;1,894762051;0,008718973;0,000843115;0,00232485;3,530149763;0,018503665;229;Knackebrod gem;Brood;Crispbread averaged;Bread;
Insects | Cooled | Meat packaging (PP) - 1 kg | Pan frying | consumed/NL Economic;;;4,345815877;0,01839543;0,001941984;0,007260942;6,265592843;0,072178496;;;Diversen;;Miscellaneous;
Mustard seed | Ambient (average) | PET bottle, non returnable | No preparation | consumed/NL Economic;;;2,056056032;0,013698924;0,001431388;0,004248677;13,31491915;0,006472866;;;Diversen;;Miscellaneous;
Eggs chicken | Ambient (short) | Cardboard box | Boiling | consumed/NL Economic;;;3,530773884;0,023090491;0,001258699;0,002898532;4,956116991;0,066640731;84;Ei kippen- gekookt gem;Eieren;Egg whole chicken av boiled;Eggs;
Baby/toddler milkpowder | Ambient (long) | Cardboard box | No preparation | consumed/NL Economic;;;4,741187393;0,014589564;0,000888269;0,004285806;3,106530611;0,033509263;1282;Nutrilon Standaard 1 poeder;Flesvoeding en preparaten;Nutrilon Standard 1 powder;Foods for special nutritional use;
Strawberries | Ambient (short) | Fruit bucket (LDPE) - 1 kg | No preparation | consumed/NL Economic;;;3,837330317;0,004421019;0,000555055;0,00087816;0,336299507;0,038041026;148;Aardbeien;Fruit;Strawberries;Fruits;
