diet,co2_pct,land_pct,water_pct
Metropolitan,38.74759738238443,37.31292379539071,23.939478822224856
Monitor 2024,33.33333333333333,33.33333333333333,33.33333333333333
Metabolic Balance,34.855834975599095,35.032248072314545,30.11191695208636
Amsterdam Theoretical,35.33075115990655,34.827288319145836,29.84196052094763
Schijf van Vijf (50-50),30.60961264933542,31.894479261915702,37.495908088748884
Mediterranean Diet,28.12799392741913,31.173432953816597,40.69857311876427
Dutch Goal,27.73661241501662,31.188160943733696,41.07522664124968
EAT-Lancet,24.257090155409006,29.02176873407904,46.72114111051195
Amsterdam Goal,25.094378820564124,30.439223794483578,44.46639738495231
