Diet,Category,Scope3_kton
8. Schijf van 5 (Guideline),Cheese & Eggs,138398.81313620915
8. Schijf van 5 (Guideline),Fish,73344.73734673078
8. Schijf van 5 (Guideline),Plant Protein,103094.9495079
8. Schijf van 5 (Guideline),Staples,410724.6498493644
8. Schijf van 5 (Guideline),Rice,56058.553396649404
8. Schijf van 5 (Guideline),Veg & Fruit,359585.7982836
8. Schijf van 5 (Guideline),Ultra-Processed,191803.14834217782
8. Schijf van 5 (Guideline),Soups,38275.6498173
8. Schijf van 5 (Guideline),Beverages & Additions,14371.6999314
8. Schijf van 5 (Guideline),Fats (Butter),21989.595150312933
8. Schijf van 5 (Guideline),Oils (Plant-based),65992.499685
8. Schijf van 5 (Guideline),Condiments,12928.663938288
9. Mediterranean Diet,Red Meat,437912.78632268414
9. Mediterranean Diet,Poultry,41423.039009364664
9. Mediterranean Diet,Dairy (Milk & Milkproducts),266316.3987288
9. Mediterranean Diet,Cheese & Eggs,110012.56570356156
9. Mediterranean Diet,Fish,102682.63228542311
9. Mediterranean Diet,Plant Protein,127468.17939156
9. Mediterranean Diet,Staples,413778.3661549322
9. Mediterranean Diet,Rice,63065.872571230575
9. Mediterranean Diet,Veg & Fruit,418715.07800136006
9. Mediterranean Diet,Ultra-Processed,111842.42909499891
9. Mediterranean Diet,Soups,45930.77978076
9. Mediterranean Diet,Beverages & Additions,18994.107909336
9. Mediterranean Diet,Fats (Butter),14512.421372184699
9. Mediterranean Diet,Oils (Plant-based),79190.99962199999
9. Mediterranean Diet,Condiments,11133.667946856001
