Diet,Scope 1+2,Scope 3,Total
Monitor 2024,4475988.287334736,2736825.7496702177,7212814.037004954
Metropolitan,922878.5302820011,3691514.121128005,4614392.651410006
Dutch Goal,546152.1074791804,2184608.4299167222,2730760.537395903
Amsterdam Goal,469567.9402449164,1878271.7609796661,2347839.7012245827
EAT-Lancet,472891.7663907929,1891567.0655631726,2364458.8319539656
Schijf van Vijf (50-50),622692.9865213364,2490771.946085346,3113464.932606682
Mediterranean Diet,568509.1834605678,2274036.733842272,2842545.9173028395
