Scenario,Total_kton,Reduction_kton,Reduction_percent
Baseline,4657877.359024607,0.0,0.0
Diet +20%,5216822.642107559,-558945.2830829527,-11.999999999999998
Diet +20% + Waste -3%,5030507.547746575,-372630.1887219688,-8.000000000000005
Diet +20% + Impact -10% + Waste -3%,4564719.811844114,93157.54718049243,2.000000000000006
Optimistic (All Favorable),4564719.811844114,93157.54718049243,2.000000000000006
