Parameter,Emission_Change_kton,Uncertainty_kton
Diet Adherence (+20%),538419.0899604261,10768.381799208522
Diet Adherence (-20%),-538419.0899604261,10768.381799208522
Impact Factors (+10%),448682.5749670218,8973.651499340436
Impact Factors (-10%),-448682.5749670218,8973.651499340436
Waste Rate (+3%),179473.02998680872,3589.4605997361746
Waste Rate (-3%),-179473.02998680872,3589.4605997361746
