Diet,Scope1+2_share_pct,Scope3_share_pct
Monitor 2024,67.23836576656389,32.76163423343611
Amsterdam Theoretical,15.000000000000005,85.0
Metropolitan,15.000000000000005,85.0
Metabolic Balance,15.000000000000007,85.0
Dutch Goal,15.0,85.0
Amsterdam Goal,15.000000000000002,84.99999999999999
EAT-Lancet,15.000000000000002,84.99999999999999
Schijf van Vijf (50-50),15.000000000000002,85.0
Mediterranean Diet,15.000000000000005,85.0
