Category,Scope1+2_kton,Scope3_kton,Total_kton,Mass_share_pct,Scope3_share_pct
Red Meat,597.4199991928052,934.3053926621884,1531.7253918549936,4.8749198203976905,34.13828566816029
Staples,233.5902041064417,365.3118202681321,598.9020243745737,29.185375240538807,13.348011663225234
Dairy (Milk & Milkproducts),187.31885565411477,292.94803860167997,480.2668942557947,14.111610006414368,10.703934608806557
Ultra-Processed,164.21936873773325,256.8227411177238,421.042109855457,7.6972418216805645,9.383963927870468
Veg & Fruit,154.1048294863698,241.00460884962,395.10943833598975,19.563822963438103,8.805990256363987
Cheese & Eggs,91.33961112971708,142.84605697409944,234.1856681038165,4.041051956382296,5.219406350269546
