Label,Value_kton
Baseline,4486825.749670218
"Diet Adherence
(+20%)",538419.0899604261
"Diet Adherence
(-20%)",-538419.0899604261
"Impact Factors
(+10%)",448682.5749670218
"Impact Factors
(-10%)",-448682.5749670218
Final,4486825.749670218
