Baseline,Goal,Category,Baseline_scope3_tonnes_per_year,Goal_scope3_tonnes_per_year,Delta_tonnes_per_year,Delta_pct
Monitor 2024 (Current),EAT-Lancet (Planetary),Condiments,15081.485928011998,9878.343952848001,-5203.141975163997,-34.50019447685724
Monitor 2024 (Current),Schijf van 5 (Guideline),Red Meat,934305.3926621884,643772.8340594186,-290532.55860276974,-31.09610207588901
Monitor 2024 (Current),Schijf van 5 (Guideline),Poultry,93201.8377710705,51778.798761705824,-41423.03900936467,-44.44444444444445
Monitor 2024 (Current),Schijf van 5 (Guideline),Dairy (Milk & Milkproducts),292948.03860167996,332895.498411,39947.45980932005,13.636363636363654
Monitor 2024 (Current),Schijf van 5 (Guideline),Cheese & Eggs,142846.05697409945,138398.81313620915,-4447.2438378903025,-3.1133122832341584
Monitor 2024 (Current),Schijf van 5 (Guideline),Fish,64543.36886512308,73344.73734673078,8801.3684816077,13.63636363636365
Monitor 2024 (Current),Schijf van 5 (Guideline),Plant Protein,70773.28966218,103094.9495079,32321.65984572,45.66929133858268
Monitor 2024 (Current),Schijf van 5 (Guideline),Staples,365311.82026813214,410724.6498493644,45412.829581232276,12.431251074191932
Monitor 2024 (Current),Schijf van 5 (Guideline),Rice,112117.10679329881,56058.553396649404,-56058.553396649404,-50.0
Monitor 2024 (Current),Schijf van 5 (Guideline),Veg & Fruit,241004.60884962,359585.7982836,118581.18943398,49.20287209443836
Monitor 2024 (Current),Schijf van 5 (Guideline),Ultra-Processed,256822.74111772378,191803.14834217782,-65019.592775545956,-25.316914106816547
Monitor 2024 (Current),Schijf van 5 (Guideline),Soups,30620.51985384,38275.6498173,7655.12996346,25.0
Monitor 2024 (Current),Schijf van 5 (Guideline),Beverages & Additions,16952.73991908,14371.6999314,-2581.0399876799984,-15.22491349480968
Monitor 2024 (Current),Schijf van 5 (Guideline),Fats (Butter),34304.2427191694,21989.595150312933,-12314.647568856468,-35.89832216868899
Monitor 2024 (Current),Schijf van 5 (Guideline),Oils (Plant-based),65992.499685,65992.499685,0.0,0.0
Monitor 2024 (Current),Schijf van 5 (Guideline),Condiments,15081.485928011998,12928.663938288,-2152.821989723998,-14.274601322442617
Monitor 2024 (Current),Mediterranean Diet,Red Meat,934305.3926621884,437912.78632268414,-496392.60633950424,-53.129588059541696
Monitor 2024 (Current),Mediterranean Diet,Poultry,93201.8377710705,41423.039009364664,-51778.79876170583,-55.55555555555556
Monitor 2024 (Current),Mediterranean Diet,Dairy (Milk & Milkproducts),292948.03860167996,266316.3987288,-26631.639872879954,-9.090909090909076
Monitor 2024 (Current),Mediterranean Diet,Cheese & Eggs,142846.05697409945,110012.56570356156,-32833.491270537896,-22.98522757018851
Monitor 2024 (Current),Mediterranean Diet,Fish,64543.36886512308,102682.63228542311,38139.263420300034,59.09090909090915
Monitor 2024 (Current),Mediterranean Diet,Plant Protein,70773.28966218,127468.17939156,56694.88972938,80.10774968918358
Monitor 2024 (Current),Mediterranean Diet,Staples,365311.82026813214,413778.3661549322,48466.54588680004,13.26717154983556
Monitor 2024 (Current),Mediterranean Diet,Rice,112117.10679329881,63065.872571230575,-49051.23422206823,-43.75000000000001
Monitor 2024 (Current),Mediterranean Diet,Veg & Fruit,241004.60884962,418715.07800136006,177710.46915174005,73.73737373737376
Monitor 2024 (Current),Mediterranean Diet,Ultra-Processed,256822.74111772378,111842.42909499891,-144980.3120227249,-56.451508691073435
Monitor 2024 (Current),Mediterranean Diet,Soups,30620.51985384,45930.77978076,15310.25992692,50.0
Monitor 2024 (Current),Mediterranean Diet,Beverages & Additions,16952.73991908,18994.107909336,2041.3679902559998,12.04152249134948
Monitor 2024 (Current),Mediterranean Diet,Fats (Butter),34304.2427191694,14512.421372184699,-19791.821346984703,-57.69496650606697
Monitor 2024 (Current),Mediterranean Diet,Oils (Plant-based),65992.499685,79190.99962199999,13198.499936999986,19.99999999999998
Monitor 2024 (Current),Mediterranean Diet,Condiments,15081.485928011998,11133.667946856001,-3947.8179811559967,-26.176584986386604
