Diet,Food_Type,CO2_pct,Land_pct,Water_pct
Monitor 2024,Plant-based,28.83657557184007,37.651950344792425,72.31644359426713
Monitor 2024,Animal,39.90208727866478,29.034424272614494,11.312222658115175
Monitor 2024,Dairy,0.0,0.0,0.0
Monitor 2024,Processed,28.85005832792778,28.070629724956824,12.14220013610422
Monitor 2024,Oils,2.411278821567357,5.242995657636267,4.229133611513463
Monitor 2024,Fats,0.0,0.0,0.0
Dutch Goal,Plant-based,46.39510898966559,57.57544156301737,84.80667714616686
Dutch Goal,Animal,23.948782267205935,15.251001116174107,4.4453574455337215
Dutch Goal,Dairy,0.0,0.0,0.0
Dutch Goal,Processed,26.99781085653588,22.033128339522957,7.599629449089022
Dutch Goal,Oils,2.6582978865925995,5.140428981285562,3.148335959210391
Dutch Goal,Fats,0.0,0.0,0.0
Amsterdam Goal,Plant-based,56.91339637177314,66.45392119957343,88.95128549079217
Amsterdam Goal,Animal,17.23958816658638,10.091174919211285,2.6758061073335933
Amsterdam Goal,Dairy,0.0,0.0,0.0
Amsterdam Goal,Processed,23.036240107148437,18.41640601150094,5.590796359206045
Amsterdam Goal,Oils,2.8107753544920353,5.038497869714349,2.7821120426681794
Amsterdam Goal,Fats,0.0,0.0,0.0
Metabolic Balance,Plant-based,14.829069450180917,20.176889543463822,57.6876587100843
Metabolic Balance,Animal,62.56847373968473,49.17234315398301,20.908395773568888
Metabolic Balance,Dairy,0.0,0.0,0.0
Metabolic Balance,Processed,19.118486650125778,23.11349898031832,14.330752852786489
Metabolic Balance,Oils,3.483970160008564,7.537268322234862,7.0731926635603095
Metabolic Balance,Fats,0.0,0.0,0.0
EAT-Lancet,Plant-based,54.2044355305247,65.36541567861772,89.28387510327087
EAT-Lancet,Animal,15.275746985722222,11.595365636901272,2.801735476296791
EAT-Lancet,Dairy,0.0,0.0,0.0
EAT-Lancet,Processed,28.007900214826993,18.474098419276086,5.627029184584161
EAT-Lancet,Oils,2.5119172689260996,4.565120265204922,2.2873602358481806
EAT-Lancet,Fats,0.0,0.0,0.0
Schijf van Vijf (50-50),Plant-based,36.95658364922046,48.25077275049902,79.42617142825729
Schijf van Vijf (50-50),Animal,30.572227131532337,21.134801138401198,6.981520000004901
Schijf van Vijf (50-50),Dairy,0.0,0.0,0.0
Schijf van Vijf (50-50),Processed,29.84724954723789,25.142265596736397,9.80607660397405
Schijf van Vijf (50-50),Oils,2.6239396720093167,5.472160514363394,3.7862319677637584
Schijf van Vijf (50-50),Fats,0.0,0.0,0.0
Amsterdam Theoretical,Plant-based,25.21645870538182,33.898415252599,64.96046377919893
Amsterdam Theoretical,Animal,37.56059535465444,26.137579861962447,11.87556045342843
Amsterdam Theoretical,Dairy,0.0,0.0,0.0
Amsterdam Theoretical,Processed,34.22352151162631,33.347887527418926,16.93570595732041
Amsterdam Theoretical,Oils,2.999424428337436,6.616117358019627,6.22826981005223
Amsterdam Theoretical,Fats,0.0,0.0,0.0
Metropolitan,Plant-based,14.422834585050234,18.62719713067188,46.00776911294203
Metropolitan,Animal,47.944989608132246,34.69292058848237,21.40371880839215
Metropolitan,Dairy,0.0,0.0,0.0
Metropolitan,Processed,34.93355295469144,40.61559079537759,24.769464106608027
Metropolitan,Oils,2.6986228521260704,6.064291485468153,7.819047972057791
Metropolitan,Fats,0.0,0.0,0.0
Mediterranean Diet,Plant-based,45.207107520463,55.99294313315893,83.52656245629117
Mediterranean Diet,Animal,25.719123965114214,17.471074849614666,5.036019431436704
Mediterranean Diet,Dairy,0.0,0.0,0.0
Mediterranean Diet,Processed,25.574355206231523,19.67225763289775,7.2105256647847575
Mediterranean Diet,Oils,3.499413308191257,6.863724384328659,4.226892447487361
Mediterranean Diet,Fats,0.0,0.0,0.0
