diet,co2_change_pct,water_change_pct,land_change_pct
Schijf van 5 (Guideline),-8.104639474394284,11.69768908827038,-4.187831408190813
EAT-Lancet (Planetary),-30.88463648841718,33.121847296631884,-17.30870920815355
Dutch Goal (60:40),-20.177291879836936,18.209670961076334,-10.2441411890482
Amsterdam Goal (70:30),-31.37042936672183,21.60929672573568,-16.75303563546388
