diet,GHG Emissions,Water Use,Land Use
Metropolitan,34.88305280571208,-16.665026885321804,29.888855325963092
Metabolic Balance,-3.1050728004512353,-16.292580483187297,-2.6146661246318823
Amsterdam Theoretical,-3.530338736198862,-18.51733324678176,-4.905030417314723
Schijf van Vijf (50-50),-8.990481166530975,11.484081568575672,-5.1702730013466205
Mediterranean Diet,-16.909699709004478,20.22388338745788,-7.913450496414424
Dutch Goal,-20.177291879836936,18.209670961076334,-10.2441411890482
EAT-Lancet,-30.88463648841718,33.121847296631884,-17.30870920815355
Amsterdam Goal,-31.37042936672183,21.60929672573568,-16.75303563546388
