diet,scope12_current,scope3_current,scope12_goal_avg,scope3_goal_avg,total_current,total_goal_avg,reduction_pct
1. Monitor 2024 (Current),1749999.9999999998,2736825.7496702177,529341.4466297885,2117365.7865191544,4486825.749670218,2646707.2331489427,41.01158857476299
3. Metropolitan (High Risk),978165.580018101,3912662.320072405,529341.4466297885,2117365.7865191544,4890827.900090506,2646707.2331489427,45.88426975522969
9. Mediterranean Diet,565744.8309737628,2262979.323895052,529341.4466297885,2117365.7865191544,2828724.154868815,2646707.2331489427,6.434594246546942
