Diet,Category,Water_m3
Schijf van 5 (Guideline),Soups,573768122.26125
Schijf van 5 (Guideline),Beverages & Additions,691454746.6994998
Schijf van 5 (Guideline),Fats (Butter),801285324.809249
Schijf van 5 (Guideline),Oils (Plant-based),3724909982.2199993
Schijf van 5 (Guideline),Condiments,329962498.42499995
Mediterranean Diet,Red Meat,3385857744.347388
Mediterranean Diet,Poultry,977286315.4501486
Mediterranean Diet,Dairy (Milk & Milkproducts),2786349986.7
Mediterranean Diet,Cheese & Eggs,1443977389.3185062
Mediterranean Diet,Fish,962390748.7249994
Mediterranean Diet,Plant Protein,28161932615.575497
Mediterranean Diet,Staples,8972123303.163635
Mediterranean Diet,Rice,7882748587.681015
Mediterranean Diet,Veg & Fruit,43311610793.26199
Mediterranean Diet,Ultra-Processed,1145853670.4205313
Mediterranean Diet,Soups,688521746.7134999
Mediterranean Diet,Beverages & Additions,787803796.2395998
Mediterranean Diet,Fats (Butter),489216694.14033675
Mediterranean Diet,Oils (Plant-based),4469891978.664
Mediterranean Diet,Condiments,283327798.6476
