Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
EAT-Lancet (Planetary),Monitor 2024 (Current),Plant Protein,311121.6465472414
EAT-Lancet (Planetary),Monitor 2024 (Current),Staples,719412.460585424
EAT-Lancet (Planetary),Monitor 2024 (Current),Rice,161882.42979233823
EAT-Lancet (Planetary),Monitor 2024 (Current),Veg & Fruit,781474.3354290059
EAT-Lancet (Planetary),Monitor 2024 (Current),Ultra-Processed,221648.16964592354
EAT-Lancet (Planetary),Monitor 2024 (Current),Soups,58949.364608951015
EAT-Lancet (Planetary),Monitor 2024 (Current),Beverages & Additions,16171.549831421044
EAT-Lancet (Planetary),Monitor 2024 (Current),Fats (Butter),11428.437288996462
EAT-Lancet (Planetary),Monitor 2024 (Current),Oils (Plant-based),91473.15197940674
EAT-Lancet (Planetary),Monitor 2024 (Current),Condiments,19017.38122633592
Schijf van 5 (Guideline),Monitor 2024 (Current),Red Meat,1091723.2681918733
Schijf van 5 (Guideline),Monitor 2024 (Current),Poultry,87807.55635606922
Schijf van 5 (Guideline),Monitor 2024 (Current),Dairy (Milk & Milkproducts),564531.0616789336
Schijf van 5 (Guideline),Monitor 2024 (Current),Cheese & Eggs,234699.5657430818
Schijf van 5 (Guideline),Monitor 2024 (Current),Fish,124379.52042172848
Schijf van 5 (Guideline),Monitor 2024 (Current),Plant Protein,174830.54465211026
Schijf van 5 (Guideline),Monitor 2024 (Current),Staples,696515.3441363215
Schijf van 5 (Guideline),Monitor 2024 (Current),Rice,95065.25265812954
Schijf van 5 (Guideline),Monitor 2024 (Current),Veg & Fruit,609793.0234523106
Schijf van 5 (Guideline),Monitor 2024 (Current),Ultra-Processed,325263.7403744289
Schijf van 5 (Guideline),Monitor 2024 (Current),Soups,64908.63748819457
Schijf van 5 (Guideline),Monitor 2024 (Current),Beverages & Additions,24371.82557027995
Schijf van 5 (Guideline),Monitor 2024 (Current),Fats (Butter),37290.40961908631
Schijf van 5 (Guideline),Monitor 2024 (Current),Oils (Plant-based),111911.44394516305
Schijf van 5 (Guideline),Monitor 2024 (Current),Condiments,21924.69532934572
Mediterranean Diet,Monitor 2024 (Current),Red Meat,776558.1146174456
Mediterranean Diet,Monitor 2024 (Current),Poultry,73456.17227795214
Mediterranean Diet,Monitor 2024 (Current),Dairy (Milk & Milkproducts),472263.3523108707
Mediterranean Diet,Monitor 2024 (Current),Cheese & Eggs,195087.13441409793
Mediterranean Diet,Monitor 2024 (Current),Fish,182088.8401115729
Mediterranean Diet,Monitor 2024 (Current),Plant Protein,226041.46796729558
Mediterranean Diet,Monitor 2024 (Current),Staples,733760.1411208588
Mediterranean Diet,Monitor 2024 (Current),Rice,111835.77330973675
Mediterranean Diet,Monitor 2024 (Current),Veg & Fruit,742514.4953292941
Mediterranean Diet,Monitor 2024 (Current),Ultra-Processed,198332.06196507148
Mediterranean Diet,Monitor 2024 (Current),Soups,81449.82485890127
Mediterranean Diet,Monitor 2024 (Current),Beverages & Additions,33682.57125071804
Mediterranean Diet,Monitor 2024 (Current),Fats (Butter),25735.121081879894
