Diet,Category,CO2_share_pct,Mass_share_pct
Monitor 2024,Red Meat,34.13828566816029,4.8749198203976905
Monitor 2024,Poultry,3.4054721160929278,2.886465683130212
Monitor 2024,Dairy (Milk & Milkproducts),10.703934608806557,14.111610006414368
Monitor 2024,Cheese & Eggs,5.219406350269546,4.041051956382296
Monitor 2024,Fish,2.358329494411562,1.4111610006414368
Monitor 2024,Plant Protein,2.5859625761964584,3.207184092366902
Monitor 2024,Staples,13.348011663225234,29.185375240538807
Monitor 2024,Rice,4.096611076054392,5.131494547787043
Monitor 2024,Veg & Fruit,8.805990256363987,19.563822963438103
Monitor 2024,Ultra-Processed,9.383963927870468,7.6972418216805645
Monitor 2024,Soups,1.1188333732072535,1.2828736369467608
Monitor 2024,Beverages & Additions,0.6194307372737475,2.5657472738935216
Monitor 2024,Fats (Butter),1.2534317438113478,1.2828736369467608
Monitor 2024,Oils (Plant-based),2.411278821567357,1.603592046183451
Monitor 2024,Condiments,0.5510575866888598,1.1545862732520846
Amsterdam Theoretical,Red Meat,34.25289390946054,4.66977985323549
Amsterdam Theoretical,Poultry,2.196504476155205,1.8679119412941962
Amsterdam Theoretical,Dairy (Milk & Milkproducts),13.113039241516706,17.34489659773182
Amsterdam Theoretical,Cheese & Eggs,5.634202142649391,4.336224149432955
Amsterdam Theoretical,Fish,1.1111969690386965,0.66711140760507
Amsterdam Theoretical,Plant Protein,1.803653889573578,2.201467645096731
Amsterdam Theoretical,Staples,13.67182387807692,29.68645763842562
Amsterdam Theoretical,Rice,1.327039967276605,1.6677785190126753
Amsterdam Theoretical,Veg & Fruit,8.413940970454723,18.67911941294196
Amsterdam Theoretical,Ultra-Processed,10.95870850285053,9.006004002668446
Amsterdam Theoretical,Soups,1.449721807029761,1.6677785190126753
Amsterdam Theoretical,Beverages & Additions,0.7500782866716433,3.068712474983322
Amsterdam Theoretical,Fats (Butter),1.6241268594068345,1.6677785190126753
Amsterdam Theoretical,Oils (Plant-based),2.999424428337436,2.0013342228152102
Amsterdam Theoretical,Condiments,0.6936446715014428,1.467645096731154
Metropolitan,Red Meat,43.64418504922979,7.955215085444903
Metropolitan,Poultry,3.176075696350774,3.5356511490866236
Metropolitan,Dairy (Milk & Milkproducts),6.806526527029087,11.785503830288745
Metropolitan,Cheese & Eggs,4.686176857940799,4.714201532115498
Metropolitan,Fish,1.124728862551678,0.8839127872716559
Metropolitan,Plant Protein,0.5389749529662902,0.8839127872716559
Metropolitan,Staples,8.92764976670266,24.749558043606363
Metropolitan,Rice,0.7163735177076567,1.1785503830288746
Metropolitan,Veg & Fruit,4.239836347673626,12.374779021803182
Metropolitan,Ultra-Processed,19.676176071591396,21.21390689451974
Metropolitan,Soups,0.5869504703374202,0.8839127872716559
Metropolitan,Beverages & Additions,0.6656603035244306,3.5356511490866236
Metropolitan,Fats (Butter),1.9110194457031155,2.357100766057749
Metropolitan,Oils (Plant-based),2.6986228521260704,2.357100766057749
Metropolitan,Condiments,0.6010432785651898,1.5910430170889804
Metabolic Balance,Red Meat,51.89501047617029,12.054001928640307
Metabolic Balance,Poultry,6.248183290714176,7.714561234329798
Metabolic Balance,Dairy (Milk & Milkproducts),2.5106705597522025,4.821600771456123
Metabolic Balance,Cheese & Eggs,8.47626042438637,9.643201542912246
Metabolic Balance,Fish,4.425279972800259,3.857280617164899
Metabolic Balance,Plant Protein,1.6590334095278874,2.892960462873674
Metabolic Balance,Staples,3.240360452130628,10.607521697203472
Metabolic Balance,Rice,0.5284862678643757,0.9643201542912248
Metabolic Balance,Veg & Fruit,9.401189320658029,28.929604628736737
Metabolic Balance,Ultra-Processed,1.6429014936824107,1.9286403085824495
Metabolic Balance,Soups,1.732030879547114,2.892960462873674
Metabolic Balance,Beverages & Additions,0.5928279383379651,3.857280617164899
Metabolic Balance,Fats (Butter),3.7235984897583134,5.014464802314368
Metabolic Balance,Oils (Plant-based),3.4839701600085635,3.3751205400192865
Metabolic Balance,Condiments,0.4401968646613994,1.446480231436837
Dutch Goal,Red Meat,20.630741009001042,2.2304832713754648
Dutch Goal,Poultry,1.706517955249735,1.1152416356877324
Dutch Goal,Dairy (Milk & Milkproducts),10.971520368300364,11.152416356877323
Dutch Goal,Cheese & Eggs,4.1965020747354735,2.478314745972739
Dutch Goal,Fish,1.6115233029551577,0.7434944237918215
Dutch Goal,Plant Protein,8.282343263833205,8.364312267657994
Dutch Goal,Staples,19.935238516351312,33.147459727385375
Dutch Goal,Rice,2.566068711855441,2.478314745972739
Dutch Goal,Veg & Fruit,15.611458497625632,26.64188351920694
Dutch Goal,Ultra-Processed,7.946796758112976,4.956629491945478
Dutch Goal,Soups,1.7520599707087587,1.5489467162329618
Dutch Goal,Beverages & Additions,0.6578615981971585,2.168525402726146
Dutch Goal,Fats (Butter),0.905966537341393,0.6815365551425031
Dutch Goal,Oils (Plant-based),2.6582978865925995,1.3630731102850062
Dutch Goal,Condiments,0.5671035491397546,0.929368029739777
Amsterdam Goal,Red Meat,13.793954618916734,1.3003901170351104
Amsterdam Goal,Poultry,1.1026902461590353,0.6501950585175552
Amsterdam Goal,Dairy (Milk & Milkproducts),7.089400060774355,6.501950585175553
Amsterdam Goal,Cheese & Eggs,4.23555142408953,2.275682704811443
Amsterdam Goal,Fish,2.34294330151061,0.975292587776333
Amsterdam Goal,Plant Protein,11.180639743423873,10.403120936280883
Amsterdam Goal,Staples,22.85752637917005,34.78543563068921
Amsterdam Goal,Rice,3.7307270013612457,3.2509752925877766
Amsterdam Goal,Veg & Fruit,19.144503247817973,29.258777633289988
