Parameter,Emission_Change_kton,Absolute_Impact_kton,Baseline_Emissions_kton
Impact Factors (+10%),465787.7359024607,465787.7359024607,4657877.359024607
Impact Factors (-10%),-465787.7359024607,465787.7359024607,4657877.359024607
Diet Adherence (+20%),558945.2830829527,558945.2830829527,4657877.359024607
Diet Adherence (-20%),-558945.2830829527,558945.2830829527,4657877.359024607
Waste Rate (+3%),186315.09436098428,186315.09436098428,4657877.359024607
Waste Rate (-3%),-186315.09436098428,186315.09436098428,4657877.359024607
