Diet,Scope12_kton,Scope3_kton,Land_hectares,Water_m3,Total_Emissions_kton
1. Monitor 2024 (Current),4475988.287334736,2736825.7496702177,3300536763.2140255,88077377647.26193,7212814.037004954
2. Amsterdam Theoretical,660051.632521836,2640206.5300873443,3138644431.043721,71767796113.29196,3300258.1626091804
3. Metropolitan (High Risk),978165.580018101,3912662.320072405,4565664420.021289,76222271468.98428,4890827.900090506
4. Metabolic Balance,662961.3294303652,2651845.317721462,3214238746.535246,73727300006.60095,3314806.647151827
5. Dutch Goal (60:40),546152.1074791804,2184608.4299167222,2962425117.1939383,104115978307.97282,2730760.537395903
6. Amsterdam Goal (70:30),469567.9402449164,1878271.7609796661,2747596663.111193,107110279531.30548,2347839.7012245827
7. EAT-Lancet (Planetary),472891.7663907929,1891567.0655631726,2729256452.5611057,117250232174.46576,2364458.8319539656
8. Schijf van 5 (Guideline),628753.9724042641,2515015.889617057,3162315848.005263,98380395441.54033,3143769.8620213214
9. Mediterranean Diet,565744.8309737628,2262979.323895052,3025418670.407624,105748893169.04874,2828724.154868815
