Diet,Scope 1+2 (kton),Scope 3 (kton),Total (kton),S1+2 %,S3 %
Monitor 2024,1750000,2736826,4486826,39.0%,61.0%
Dutch Goal,546152,2184608,2730761,20.0%,80.0%
Amsterdam Goal,469568,1878272,2347840,20.0%,80.0%
EAT-Lancet,472892,1891567,2364459,20.0%,80.0%
