diet,co2_change_pct,land_change_pct,water_change_pct
Metropolitan,9.00418632147644,38.33096697808928,-13.459876412029123
Schijf van 5,-29.933319513190614,-4.187831408190813,11.69768908827038
Mediterranean Diet,-36.954891660842264,-8.335556079020744,20.063625863793252
Dutch Goal,-39.138252971009315,-10.2441411890482,18.209670961076334
EAT-Lancet,-47.30219170807439,-17.30870920815355,33.121847296631884
Amsterdam Goal,-47.67259010677762,-16.75303563546388,21.60929672573568
