Diet,Scope12_kton,Scope3_kton,Land_hectares,Water_m3,Total_Emissions_kton
1. Monitor 2024 (Current),1510962.3585,994002.3355500001,908222477.4,576461379060.0,2504964.69405
2. Amsterdam Theoretical,1626850.7199000001,1093591.3810499997,1000592242.65,592510394385.0,2720442.10095
3. Metropolitan (High Risk),2281653.1206,1773795.6683999998,1559845819.3499997,864488447865.0,4055448.789
4. Metabolic Balance,1961825.3235,1541408.8882499998,1519565937.7499998,1030357890450.0,3503234.21175
5. Dutch Goal (60:40),1254216.7448999998,801451.1736,819036599.85,635826075885.0,2055667.9184999997
6. Amsterdam Goal (70:30),1041008.9445,648698.6078999998,681388989.75,593110149975.0,1689707.5524
7. EAT-Lancet (Planetary),1132472.4767999998,605160.7946999999,680352375.15,685561363515.0,1737633.2714999998
8. Schijf van 5 (Guideline),1396493.7083999997,871977.98835,852134223.1499999,625145243310.0,2268471.6967499997
9. Mediterranean Diet,1340297.6075999998,787271.76675,796971517.6499999,654518458440.0,2127569.3743499997
