Diet,Category,Mass_share_pct,Emissions_share_pct,Gap_pct
Monitor 2024,Red Meat,2.281021897810219,9.961177709666263,7.680155811856044
Monitor 2024,Poultry,2.281021897810219,4.5059343503336615,2.2249124525234425
Monitor 2024,Dairy (Liquid),20.072992700729927,13.6416121183779,-6.431380582352027
Monitor 2024,Dairy (Solid) & Eggs,5.748175182481752,11.00566312476813,5.257487942286378
Monitor 2024,Fish,2.0072992700729926,4.53061205037458,2.523312780301587
Monitor 2024,Plant Protein,4.562043795620438,2.6320089233568416,-1.9300348722635965
Monitor 2024,taples,0.0,0.0,0.0
Monitor 2024,Rice,2.737226277372263,2.0724402336336123,-0.6647860437386508
Monitor 2024,Veg & Fruit,27.82846715328467,8.132105300071954,-19.696361853212714
Monitor 2024,Ultra-Processed,23.083941605839417,22.47603914345345,-0.6079024623859688
Monitor 2024,Beverages & Additions,3.64963503649635,9.150678868485151,5.5010438319888015
Monitor 2024,"Fats (Solid, Animal)",1.824817518248175,8.821497871780238,6.996680353532064
Monitor 2024,Oils (Plant-based),2.281021897810219,1.333301845394111,-0.947720052416108
Monitor 2024,Condiments,1.6423357664233578,1.7369284603041386,0.09459269388078084
Metropolitan,Red Meat,5.397070161912105,21.247077180085803,15.850007018173699
Metropolitan,Poultry,4.626060138781804,6.679626693972231,2.053566555190427
Metropolitan,Dairy (Liquid),15.420200462606015,7.6600058549509225,-7.760194607655093
Metropolitan,Dairy (Solid) & Eggs,6.168080185042406,9.086520629259853,2.918440444217447
Metropolitan,Fish,1.156515034695451,1.9080139428110616,0.7514989081156107
Metropolitan,Plant Protein,1.156515034695451,0.45980868635408917,-0.6967063483413618
Metropolitan,taples,0.0,0.0,0.0
Metropolitan,Rice,1.5420200462606015,0.8533886173424241,-0.6886314289181774
Metropolitan,Veg & Fruit,16.191210485736317,3.4585760956137253,-12.732634390122591
Metropolitan,Ultra-Processed,35.46646106399383,25.96751961385798,-9.498941450135852
Metropolitan,Beverages & Additions,4.626060138781804,8.602361019697657,3.9763008809158533
Metropolitan,"Fats (Solid, Animal)",3.084040092521203,11.097576133995915,8.013536041474712
Metropolitan,Oils (Plant-based),3.084040092521203,1.317663612055283,-1.76637648046592
Metropolitan,Condiments,2.081727062451812,1.6618619200030689,-0.4198651424487432
Mediterranean Diet,Red Meat,1.353637901861252,8.22719344470927,6.873555542848018
Mediterranean Diet,Poultry,1.6920473773265652,4.244212113276014,2.5521647359494493
Mediterranean Diet,Dairy (Liquid),16.920473773265652,14.601425106594313,-2.319048666671339
Mediterranean Diet,Dairy (Solid) & Eggs,4.060913705583756,10.392379820068323,6.3314661144845665
Mediterranean Diet,Fish,2.961082910321489,8.486419049406134,5.525336139084645
Mediterranean Diet,Plant Protein,8.460236886632826,5.062822087673425,-3.3974147989594012
Mediterranean Diet,taples,0.0,0.0,0.0
Mediterranean Diet,Rice,3.807106598984772,3.660121544620798,-0.14698505436397413
Mediterranean Diet,Veg & Fruit,43.9932318104907,16.27671577980043,-27.71651603069027
Mediterranean Diet,Ultra-Processed,8.629441624365482,10.488377166284751,1.8589355419192692
Mediterranean Diet,Beverages & Additions,3.6379018612521152,10.53610414138387,6.898202280131755
Mediterranean Diet,"Fats (Solid, Animal)",0.7614213197969544,4.616678466221264,3.855257146424309
Mediterranean Diet,Oils (Plant-based),2.5380710659898478,1.8837877129044,-0.6542833530854477
Mediterranean Diet,Condiments,1.1844331641285957,1.5237635670569953,0.33933040292839967
