Category,Scope1+2_kton,Scope3_kton,Total_kton,Mass_share_pct,Scope3_share_pct
Processed Meats,432.7661880749582,231.4089101276628,392.85698696091595,2.0408163265306123,14.10718039045071
Staples,194.59658543713616,300.55762869999694,373.1539759721682,30.952380952380953,18.32263365942929
Dairy (Milk & Milkproducts),228.2719758927756,183.09252412605,268.25183767305,14.965986394557824,11.1617105173876
Veg & Fruit,100.83139763339017,220.38085282306275,257.9970892132777,20.74829931972789,13.434886511764732
Ultra-Processed,164.49578933354078,189.08954445865513,250.4564662905154,8.16326530612245,11.527301659019045
Red Meat,263.09167530982853,140.6804864259941,238.82966300226906,1.8367346938775513,8.576182301420424
