diet,scope12_current,scope3_current,scope12_goal_avg,scope3_goal_avg,total_current,total_goal_avg,reduction_pct
1. Monitor 2024 (Current),501297.4441188001,1076347.5602111397,362581.8918739499,876848.3542593337,1577645.0043299398,1239430.2461332837,21.437950696665332
3. Metropolitan (High Risk),936285.2152982999,1712921.273044695,362581.8918739499,876848.3542593337,2649206.488342995,1239430.2461332837,53.21503810340911
9. Mediterranean Diet,369155.5633542001,950144.3223251699,362581.8918739499,876848.3542593337,1319299.88567937,1239430.2461332837,6.053941216326086
