Diet,Scope 1+2 (kton),Scope 3 (kton),Total (kton),S1+2 %,S3 %
Monitor 2024,1750000,1076348,2826348,61.9%,38.1%
Dutch Goal,1522179,940402,2462581,61.8%,38.2%
Amsterdam Goal,1252420,792043,2044463,61.3%,38.7%
EAT-Lancet,1089330,791522,1880851,57.9%,42.1%
