Diet,Scope 1+2,Scope 3,Total
Monitor 2024,652856.3049598876,1640362.5935364505,2293218.898496338
Metropolitan,1074131.0890615096,2305010.8099277597,3379141.8989892695
Dutch Goal,527936.3561576868,1595697.3716568763,2123633.727814563
Amsterdam Goal,421557.03634323814,1441492.0730866203,1863049.1094298584
EAT-Lancet,422482.2096492375,1456122.0812081047,1878604.2908573423
Schijf van Vijf (50-50),599154.3827008127,1680363.4804916752,2279517.863192488
Mediterranean Diet,552025.585693968,1655690.908060809,2207716.493754777
