Diet,Scope1+2_share_pct,Scope3_share_pct
Monitor 2024,63.784105230871354,36.21589476912863
Amsterdam Theoretical,62.9819545766853,37.0180454233147
Metropolitan,58.483366612666245,41.516633387333755
Metabolic Balance,56.73083657345801,43.269163426541986
Dutch Goal,65.65373949753736,34.34626050246264
Amsterdam Goal,67.04737421360507,32.95262578639493
EAT-Lancet,69.52741137240854,30.472588627591474
Schijf van Vijf (50-50),65.60241288991189,34.397587110088104
Mediterranean Diet,67.16797935676507,32.83202064323493
