Diet,Food_Type,CO2_pct,Land_pct,Water_pct
Monitor 2024,Plant-based,12.836577418187822,16.28485243763248,29.439720502478988
Monitor 2024,Animal,18.99767191850494,23.27572150660362,25.400107894263623
Monitor 2024,Dairy,24.647076853677863,33.42572965922061,31.30218100547178
Monitor 2024,Processed,33.363920327306545,19.146421001141366,6.600816913710278
Monitor 2024,Oils,1.3333616070252412,1.0190771237567258,0.3211138798263415
Monitor 2024,Fats,8.821391875297598,6.848198271645198,6.936059804248979
Dutch Goal,Plant-based,25.61644050145252,33.56235591917913,53.603349190360014
Dutch Goal,Animal,17.60799943621828,21.335261944582566,18.364649505365573
Dutch Goal,Dairy,22.563797383113172,27.46010938841929,20.64130706928375
Dutch Goal,Processed,26.81056151093502,12.444062740134704,3.6409053061842402
Dutch Goal,Oils,1.4298130906983846,0.9944401753830854,0.2561967591109972
Dutch Goal,Fats,5.971388077582629,4.203769832301226,3.493592169695417
Amsterdam Goal,Plant-based,34.529634117530506,46.454767726161364,67.1015261695952
Amsterdam Goal,Animal,13.725832018717085,13.447432762836186,11.23560438188571
Amsterdam Goal,Dairy,18.365570009983458,23.227383863080682,15.57379607378047
Amsterdam Goal,Processed,26.590590396061486,12.143439282803586,3.1553322305795697
Amsterdam Goal,Oils,1.581349977518157,1.0866612333605,0.249680097375238
Amsterdam Goal,Fats,5.207023480189305,3.6403151317576743,2.684061046783808
Metabolic Balance,Plant-based,6.8167772853732895,6.578145937385796,14.480255829830046
Metabolic Balance,Animal,50.16368811727651,59.44694847119016,57.058675577593334
Metabolic Balance,Dairy,14.181708743127972,19.490802777439395,16.70798749595774
Metabolic Balance,Processed,10.74414341146713,2.8383481544646125,1.1893212604649492
Metabolic Balance,Oils,1.3347760861424516,0.8527226215129737,0.2515180913369983
Metabolic Balance,Fats,16.758906356612655,10.793032038007064,10.31224174481693
EAT-Lancet,Plant-based,31.813044807366303,43.532676715459544,63.506807000869436
EAT-Lancet,Animal,24.662022584320663,24.759209881917617,17.847788872268154
EAT-Lancet,Dairy,24.243592000074106,22.1744572019372,15.817299124621305
EAT-Lancet,Processed,15.424034978832987,6.758448060075092,1.4996462843657687
EAT-Lancet,Oils,1.383961241674463,0.9794852260978396,0.19440859285980436
EAT-Lancet,Fats,2.473344387731471,1.795722914512706,1.1340501250155257
Schijf van Vijf (50-50),Plant-based,20.210459839849005,25.090150758135294,42.224827961956194
Schijf van Vijf (50-50),Animal,20.305897629665896,22.917843333188518,22.000734344834125
Schijf van Vijf (50-50),Dairy,27.08801209115196,34.10522657166442,27.597152637127053
Schijf van Vijf (50-50),Processed,24.60946785449462,12.064995438154408,3.7356832368025215
Schijf van Vijf (50-50),Oils,1.4723673893684432,1.0861537124733893,0.296106787952007
Schijf van Vijf (50-50),Fats,6.313795195470076,4.735630186383978,4.145495031328099
Amsterdam Theoretical,Plant-based,10.110627702899798,11.914011914011912,22.200283673762677
Amsterdam Theoretical,Animal,18.00136443003095,25.197025197025198,27.81752404041414
Amsterdam Theoretical,Dairy,25.774473798032403,34.5025345025345,33.89714014358641
Amsterdam Theoretical,Processed,34.48688614701172,19.506419506419505,7.274919865286204
Amsterdam Theoretical,Oils,1.4733004237070013,1.1100011100011098,0.3748992458276837
Amsterdam Theoretical,Fats,10.15334749831813,7.770007770007769,8.435233031122884
Metropolitan,Plant-based,4.771855873877735,5.1622243846865885,10.415105328748174
Metropolitan,Animal,29.83397235915633,42.18783376450762,48.43537881091359
Metropolitan,Dairy,16.74644566692863,23.141005862388152,23.51107247320208
Metropolitan,Processed,36.23236725330031,20.48987729333302,7.874282141434732
Metropolitan,Oils,1.3177426908940806,0.9493745994825908,0.34260214897197944
Metropolitan,Fats,11.09761615584292,8.069684095602023,9.421559096729434
Mediterranean Diet,Plant-based,24.999640630402364,32.6102104334092,52.191275623331364
Mediterranean Diet,Animal,20.957754023237214,19.95168857713569,18.507624779401784
Mediterranean Diet,Dairy,24.99336111953843,32.749570307056246,23.157156432417754
Mediterranean Diet,Processed,22.54881563129133,9.810935104752174,3.089506312502828
Mediterranean Diet,Oils,1.883853259179623,1.3935987364704787,0.3393818724829178
Mediterranean Diet,Fats,4.61657533635103,3.483996841176198,2.7150549798633428
