Diet,Category,Scope3_kton
8. Schijf van 5 (Guideline),Dairy (Milk & Milkproducts),353701.4670616875
8. Schijf van 5 (Guideline),Cheese & Eggs,121289.54895477914
8. Schijf van 5 (Guideline),Fish,77928.78343090144
8. Schijf van 5 (Guideline),Plant Protein,109538.38385214376
8. Schijf van 5 (Guideline),Staples,436394.94046494964
8. Schijf van 5 (Guideline),Rice,59562.212983939986
8. Schijf van 5 (Guideline),Veg & Fruit,382059.910676325
8. Schijf van 5 (Guideline),Ultra-Processed,203790.84511356393
8. Schijf van 5 (Guideline),Soups,40667.877930881245
8. Schijf van 5 (Guideline),Beverages & Additions,15269.9311771125
8. Schijf van 5 (Guideline),Fats (Butter),23363.944847207484
8. Schijf van 5 (Guideline),Oils (Plant-based),70117.03091531248
8. Schijf van 5 (Guideline),Condiments,13736.705434430998
9. Mediterranean Diet,Red Meat,465282.33546785195
9. Mediterranean Diet,Poultry,44011.978947449956
9. Mediterranean Diet,Dairy (Milk & Milkproducts),282961.17364934995
9. Mediterranean Diet,Cheese & Eggs,116888.35106003413
9. Mediterranean Diet,Fish,109100.29680326206
9. Mediterranean Diet,Plant Protein,135434.9406035325
9. Mediterranean Diet,Staples,439639.51403961546
9. Mediterranean Diet,Rice,67007.48960693247
9. Mediterranean Diet,Veg & Fruit,444884.770376445
9. Mediterranean Diet,Ultra-Processed,130581.07898235758
9. Mediterranean Diet,Soups,48801.45351705748
9. Mediterranean Diet,Beverages & Additions,20181.2396536695
9. Mediterranean Diet,Fats (Butter),15419.447707946241
9. Mediterranean Diet,Oils (Plant-based),84140.437098375
9. Mediterranean Diet,Condiments,11829.5221935345
