Parameter,Emission_Change_kton,Uncertainty_kton
Diet Adherence (+20%),520488.37221842114,10409.767444368423
Diet Adherence (-20%),-520488.37221842114,10409.767444368423
Impact Factors (+10%),433740.3101820177,8674.806203640353
Impact Factors (-10%),-433740.3101820177,8674.806203640353
Waste Rate (+3%),173496.12407280706,3469.922481456141
Waste Rate (-3%),-173496.12407280706,3469.922481456141
