base_diet,category,base_pct,avg_goal_pct,delta_pct
1. Monitor 2024 (Current),Ultra-Processed,16.104392106938256,6.7878822769779426,-9.316509829960314
1. Monitor 2024 (Current),Veg & Fruit,19.41438574156588,28.106988739845946,8.692602998280066
1. Monitor 2024 (Current),Plant Protein,3.1826861871419476,7.6486542240596025,4.465968036917655
1. Monitor 2024 (Current),Dairy (Liquid),14.003819223424571,11.892054417297437,-2.111764806127134
1. Monitor 2024 (Current),Dairy (Solid) & Eggs,4.0101845957988544,2.1063821546549675,-1.903802441143887
1. Monitor 2024 (Current),Rice,1.9096117122851686,2.9262379615352314,1.0166262492500628
1. Monitor 2024 (Current),"Fats (Solid, Animal)",1.273074474856779,0.5487143813576989,-0.7243600934990801
1. Monitor 2024 (Current),Beverages & Additions,2.546148949713558,1.8360798409667431,-0.710069108746815
3. Metropolitan (High Risk),Ultra-Processed,26.33085289066972,6.7878822769779426,-19.54297061369178
3. Metropolitan (High Risk),Veg & Fruit,12.020606754436177,28.106988739845946,16.08638198540977
3. Metropolitan (High Risk),Plant Protein,0.8586147681740126,7.6486542240596025,6.79003945588559
3. Metropolitan (High Risk),Red Meat,4.0068689181453925,0.9752103407952237,-3.0316585773501687
3. Metropolitan (High Risk),Dairy (Solid) & Eggs,4.5792787635947345,2.1063821546549675,-2.472896608939767
3. Metropolitan (High Risk),Poultry,3.434459072696051,1.2511249463737064,-2.1833341263223445
3. Metropolitan (High Risk),Rice,1.1448196908986834,2.9262379615352314,1.781418270636548
3. Metropolitan (High Risk),"Fats (Solid, Animal)",2.289639381797367,0.5487143813576989,-1.740925000439668
9. Mediterranean Diet,Veg & Fruit,30.373831775700932,28.106988739845946,-2.2668430358549863
9. Mediterranean Diet,Plant Protein,5.841121495327102,7.6486542240596025,1.8075327287325003
9. Mediterranean Diet,Ultra-Processed,5.957943925233645,6.7878822769779426,0.829938351744298
9. Mediterranean Diet,Fish,2.0443925233644857,1.224977842378169,-0.8194146809863168
9. Mediterranean Diet,Dairy (Solid) & Eggs,2.803738317757009,2.1063821546549675,-0.6973561631020417
9. Mediterranean Diet,Beverages & Additions,2.511682242990654,1.8360798409667431,-0.6756024020239106
9. Mediterranean Diet,Oils (Plant-based),1.7523364485981308,1.3014961239560985,-0.4508403246420323
9. Mediterranean Diet,Rice,2.628504672897196,2.9262379615352314,0.2977332886380353
