Neighborhood,Population,Avg_Income,High_Education_Pct,Est_Total_CO2_Tonnes,Per_Capita_CO2_kg
Centrum,91014,64393,0.64,134806.53048367056,1481.1625737103145
Zuid,147015,69946,0.61,217753.1157740219,1481.1625737103145
West,149607,51909,0.56,221592.28916507904,1481.1625737103145
Oost,147971,56552,0.55,219169.10719448896,1481.1625737103145
Westpoort,1795,20543,0.53,2658.6868198100146,1481.1625737103145
Weesp,26725,62476,0.46,39584.06978240816,1481.1625737103145
Noord,110557,48433,0.37,163752.89066169126,1481.1625737103145
Nieuw-West,166462,47493,0.34,246557.28434496638,1481.1625737103145
Zuidoost,93228,41339,0.29,138085.8244218652,1481.1625737103145
