Scenario,Total_kton,Reduction_kton,Reduction_percent
Baseline,1654550.9923349398,0.0,0.0
Diet +20%,1853097.1114151324,-198546.11908019264,-11.999999999999993
Diet +20% + Waste -3%,1786915.071721735,-132364.07938679517,-7.999999999999999
Diet +20% + Impact -10% + Waste -3%,1621459.972488241,33091.019846698735,1.9999999999999962
Optimistic (All Favorable),1621459.972488241,33091.019846698735,1.9999999999999962
