Diet,Category,CO2_share_pct,Mass_share_pct
Monitor 2024,Red Meat,13.222093932734927,2.281021897810219
Monitor 2024,Poultry,3.2589668144064943,2.281021897810219
Monitor 2024,Dairy (Liquid),10.652165816231514,20.072992700729927
Monitor 2024,Dairy (Solid) & Eggs,15.330179894968154,5.748175182481752
Monitor 2024,Fish,2.8678907966777154,2.0072992700729926
Monitor 2024,Plant Protein,2.5326827814816184,4.562043795620438
Monitor 2024,taples,0.0,0.0
Monitor 2024,Rice,2.793400126634139,2.737226277372263
Monitor 2024,Veg & Fruit,7.355953666803232,27.82846715328467
Monitor 2024,Ultra-Processed,27.207717233416517,23.083941605839417
Monitor 2024,Beverages & Additions,2.413497709411896,3.64963503649635
Monitor 2024,"Fats (Solid, Animal)",9.534805765577861,1.824817518248175
Monitor 2024,Oils (Plant-based),0.9311333755447126,2.281021897810219
Monitor 2024,Condiments,1.8995120861112138,1.6423357664233578
Amsterdam Theoretical,Red Meat,14.760147601476017,2.8144239226033423
Amsterdam Theoretical,Poultry,3.3176478553776367,2.4626209322779244
Amsterdam Theoretical,Dairy (Liquid),11.442499746098383,22.867194371152156
Amsterdam Theoretical,Dairy (Solid) & Eggs,15.40336504282474,5.716798592788039
Amsterdam Theoretical,Fish,1.184874234063442,0.8795074758135445
Amsterdam Theoretical,Plant Protein,1.6148143132807478,2.9023746701846966
Amsterdam Theoretical,taples,0.0,0.0
Amsterdam Theoretical,Rice,2.11584684654186,2.198768689533861
Amsterdam Theoretical,Veg & Fruit,6.127492467585227,24.626209322779243
Amsterdam Theoretical,Ultra-Processed,27.675276752767523,24.714160070360595
Amsterdam Theoretical,Beverages & Additions,2.4103727275804867,4.0457343887423045
Amsterdam Theoretical,"Fats (Solid, Animal)",10.833135854294323,2.198768689533861
Amsterdam Theoretical,Oils (Plant-based),1.0156064863400929,2.638522427440633
Amsterdam Theoretical,Condiments,2.0989200717695256,1.9349164467897977
Metropolitan,Red Meat,28.90716313240942,5.397070161912105
Metropolitan,Poultry,4.383035565202872,4.626060138781804
Metropolitan,Dairy (Liquid),5.426615461679746,15.420200462606015
Metropolitan,Dairy (Solid) & Eggs,11.813324428118216,6.168080185042406
Metropolitan,Fish,1.095758891300718,1.156515034695451
Metropolitan,Plant Protein,0.38612456169644344,1.156515034695451
Metropolitan,taples,0.0,0.0
Metropolitan,Rice,1.043579896476874,1.5420200462606015
Metropolitan,Veg & Fruit,2.838537318417098,16.191210485736317
Metropolitan,Ultra-Processed,28.698447153114042,35.46646106399383
Metropolitan,Beverages & Additions,2.0704625146101185,4.626060138781804
Metropolitan,"Fats (Solid, Animal)",10.853230923359494,3.084040092521203
Metropolitan,Oils (Plant-based),0.8348639171814995,3.084040092521203
Metropolitan,Condiments,1.6488562364334614,2.081727062451812
Metabolic Balance,Red Meat,45.15431728113366,11.210762331838566
Metabolic Balance,Poultry,6.725111084424164,8.968609865470851
Metabolic Balance,Dairy (Liquid),1.5611865017413231,5.605381165919283
Metabolic Balance,Dairy (Solid) & Eggs,14.651134862495496,11.210762331838566
Metabolic Balance,Fish,3.362555542212082,4.484304932735426
Metabolic Balance,Plant Protein,0.36027380809415155,3.3632286995515694
Metabolic Balance,taples,0.0,0.0
Metabolic Balance,Rice,0.6004563468235858,1.1210762331838564
Metabolic Balance,Veg & Fruit,4.563468235859252,33.6322869955157
Metabolic Balance,Ultra-Processed,3.302509907529723,4.484304932735426
Metabolic Balance,Beverages & Additions,1.6332412633601536,4.484304932735426
Metabolic Balance,"Fats (Solid, Animal)",16.28437612585565,5.829596412556054
Metabolic Balance,Oils (Plant-based),0.8406388855530205,3.923766816143498
Metabolic Balance,Condiments,0.9607301549177376,1.6816143497757847
Dutch Goal,Red Meat,15.24390243902439,1.8214936247723135
Dutch Goal,Poultry,2.9101995565410195,1.639344262295082
Dutch Goal,Dairy (Liquid),10.80931263858093,16.39344262295082
Dutch Goal,Dairy (Solid) & Eggs,13.072801182557278,3.642987249544627
Dutch Goal,Fish,1.9401330376940134,1.092896174863388
Dutch Goal,Plant Protein,7.598854397634883,12.295081967213115
Dutch Goal,taples,0.0,0.0
Dutch Goal,Rice,4.619364375461935,3.642987249544627
Dutch Goal,Veg & Fruit,12.84183296378418,39.162112932604735
Dutch Goal,Ultra-Processed,18.73152254249815,12.750455373406194
Dutch Goal,Beverages & Additions,2.7161862527716183,3.1876138433515484
Dutch Goal,"Fats (Solid, Animal)",6.559497413155949,1.0018214936247722
Dutch Goal,Oils (Plant-based),1.0162601626016259,2.0036429872495445
Dutch Goal,Condiments,1.9401330376940134,1.366120218579235
Amsterdam Goal,Red Meat,9.41673324962904,0.9891196834817012
Amsterdam Goal,Poultry,1.9974888711334329,0.9891196834817012
Amsterdam Goal,Dairy (Liquid),7.4192443784956055,9.891196834817013
Amsterdam Goal,Dairy (Solid) & Eggs,13.297568770688278,3.4619188921859543
Amsterdam Goal,Fish,2.9962333067001485,1.483679525222552
Amsterdam Goal,Plant Protein,10.501084351101472,15.82591493570722
Amsterdam Goal,taples,0.0,0.0
Amsterdam Goal,Rice,7.133888825476545,4.945598417408506
Amsterdam Goal,Veg & Fruit,16.550622075105583,44.510385756676556
Amsterdam Goal,Ultra-Processed,18.862002054559984,10.979228486646884
Amsterdam Goal,Beverages & Additions,2.693756420499943,2.7695351137487636
Amsterdam Goal,"Fats (Solid, Animal)",5.82125328158886,0.791295746785361
Amsterdam Goal,Oils (Plant-based),1.1414222120762474,1.9782393669634024
Amsterdam Goal,Condiments,2.16870220294487,1.3847675568743818
