Diet,Scope 1+2,Scope 3,Total
Monitor 2024,578203.4321238,1076347.5602111397,1654550.9923349398
Amsterdam Theoretical,638486.8132314,1147909.0083579298,1786395.8215893297
Metropolitan,1006472.5870562999,1712921.273044695,2719393.860100995
Metabolic Balance,883907.2922925,1519666.927106685,2403574.219399185
Dutch Goal,502931.0569016999,940401.9877205099,1443333.0446222099
Amsterdam Goal,413801.9619783,792043.174882155,1205845.136860455
EAT-Lancet,359916.6133983,791521.5442451099,1151438.15764341
Schijf van Vijf (50-50),517916.6405511,983426.71018956,1501343.35074066
Mediterranean Diet,456719.2547967001,950144.3223251699,1406863.5771218701
