diet,co2_pct,land_pct,water_pct
Metropolitan,37.094922908989794,37.689483118629084,25.215593972381118
Amsterdam Theoretical,34.908896987388886,34.37582572670176,30.71527728590936
Schijf van Vijf (50-50),31.05724136147089,30.576505899389762,38.36625273913934
Mediterranean Diet,29.6905876773846,29.774365525152575,40.53504679746281
Monitor 2024,33.33333333333333,33.33333333333333,33.33333333333333
Metabolic Balance,32.5429168965635,35.572590876045936,31.884492227390567
Dutch Goal,29.35103684770915,29.767510141687797,40.88145301060306
EAT-Lancet,26.7177385651268,27.356999658396823,45.925261776476376
Amsterdam Goal,27.56751485160094,28.705198210677736,43.727286937721324
