diet,GHG Emissions,Water Use,Land Use
Metropolitan,51.589590000077955,-4.481424033609769,42.77061093004268
Mediterranean Diet,-6.618182995618269,37.8006581044504,1.2192531689711996
Dutch Goal,-10.29049724978508,35.491967101490374,-1.3425842822960716
Amsterdam Goal,-22.870010295767486,39.38861936790497,-8.49699975744868
EAT-Lancet,-22.32404739149338,52.58430894663444,-9.107782378109176
Schijf van Vijf (50-50),-2.478914436308617,26.54642581806172,0.8528917817751183
