Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
Metropolitan,Amsterdam Goal,Dairy (Milk & Milkproducts),243865.30697550002
Metropolitan,Amsterdam Goal,Cheese & Eggs,163844.68093400123
Metropolitan,Amsterdam Goal,Fish,40296.963251546855
Metropolitan,Amsterdam Goal,Plant Protein,22787.363612160003
Metropolitan,Amsterdam Goal,Staples,358451.7374050731
Metropolitan,Amsterdam Goal,Rice,28477.41920367582
Metropolitan,Amsterdam Goal,Veg & Fruit,177589.363536039
Metropolitan,Amsterdam Goal,Ultra-Processed,536111.5161778267
Metropolitan,Amsterdam Goal,Soups,21797.092439561246
Metropolitan,Amsterdam Goal,Beverages & Additions,25951.59313194
Metropolitan,Amsterdam Goal,Fats (Butter),73763.05346630795
Metropolitan,Amsterdam Goal,Oils (Plant-based),107276.17972049999
Metropolitan,Amsterdam Goal,Condiments,23928.87185961825
Monitor 2024,EAT-Lancet,Red Meat,238829.66300226905
Monitor 2024,EAT-Lancet,Poultry,43951.77104191308
Monitor 2024,EAT-Lancet,Processed Meats,392856.98696091597
Monitor 2024,EAT-Lancet,Dairy (Milk & Milkproducts),268251.83767305
Monitor 2024,EAT-Lancet,Cheese & Eggs,127967.1198246801
Monitor 2024,EAT-Lancet,Fish,59102.21276893539
Monitor 2024,EAT-Lancet,Plant Protein,75990.61917216
Monitor 2024,EAT-Lancet,Staples,373153.9759721682
Monitor 2024,EAT-Lancet,Rice,42716.12880551373
Monitor 2024,EAT-Lancet,Veg & Fruit,257997.08921327774
Monitor 2024,EAT-Lancet,Ultra-Processed,250456.4662905154
Monitor 2024,EAT-Lancet,Soups,29062.789919414998
Monitor 2024,EAT-Lancet,Beverages & Additions,16927.673000594998
Monitor 2024,EAT-Lancet,Fats (Butter),33530.21410773477
Monitor 2024,EAT-Lancet,Oils (Plant-based),67047.6123253125
Monitor 2024,EAT-Lancet,Condiments,15376.73841788175
Amsterdam Theoretical,EAT-Lancet,Red Meat,309310.3525819597
Amsterdam Theoretical,EAT-Lancet,Poultry,49225.983566942654
Amsterdam Theoretical,EAT-Lancet,Processed Meats,458333.1514544021
Amsterdam Theoretical,EAT-Lancet,Dairy (Milk & Milkproducts),317024.89906814997
Amsterdam Theoretical,EAT-Lancet,Cheese & Eggs,132972.29377161228
Amsterdam Theoretical,EAT-Lancet,Fish,26864.6421676979
Amsterdam Theoretical,EAT-Lancet,Plant Protein,50898.326826815995
Amsterdam Theoretical,EAT-Lancet,Staples,368959.4135081473
Amsterdam Theoretical,EAT-Lancet,Rice,35596.77400459478
Amsterdam Theoretical,EAT-Lancet,Veg & Fruit,237761.34180114753
Amsterdam Theoretical,EAT-Lancet,Ultra-Processed,282269.39779934246
Amsterdam Theoretical,EAT-Lancet,Soups,36328.48739926875
Amsterdam Theoretical,EAT-Lancet,Beverages & Additions,19746.865766208
Amsterdam Theoretical,EAT-Lancet,Fats (Butter),41912.76763466845
Amsterdam Theoretical,EAT-Lancet,Oils (Plant-based),80457.134790375
Amsterdam Theoretical,EAT-Lancet,Condiments,18678.622835260496
Metropolitan,EAT-Lancet,Red Meat,663802.5328530963
Metropolitan,EAT-Lancet,Poultry,105484.2505005914
Metropolitan,EAT-Lancet,Processed Meats,785713.9739218319
Metropolitan,EAT-Lancet,Dairy (Milk & Milkproducts),243865.30697550002
Metropolitan,EAT-Lancet,Cheese & Eggs,163844.68093400123
Metropolitan,EAT-Lancet,Fish,40296.963251546855
Metropolitan,EAT-Lancet,Plant Protein,22787.363612160003
Metropolitan,EAT-Lancet,Staples,358451.7374050731
Metropolitan,EAT-Lancet,Rice,28477.41920367582
Metropolitan,EAT-Lancet,Veg & Fruit,177589.363536039
Metropolitan,EAT-Lancet,Ultra-Processed,536111.5161778267
Metropolitan,EAT-Lancet,Soups,21797.092439561246
Metropolitan,EAT-Lancet,Beverages & Additions,25951.59313194
Metropolitan,EAT-Lancet,Fats (Butter),73763.05346630795
Metropolitan,EAT-Lancet,Oils (Plant-based),107276.17972049999
Metropolitan,EAT-Lancet,Condiments,23928.87185961825
Monitor 2024,Schijf van Vijf (50-50),Red Meat,238829.66300226905
Monitor 2024,Schijf van Vijf (50-50),Poultry,43951.77104191308
Monitor 2024,Schijf van Vijf (50-50),Processed Meats,392856.98696091597
Monitor 2024,Schijf van Vijf (50-50),Dairy (Milk & Milkproducts),268251.83767305
Monitor 2024,Schijf van Vijf (50-50),Cheese & Eggs,127967.1198246801
Monitor 2024,Schijf van Vijf (50-50),Fish,59102.21276893539
Monitor 2024,Schijf van Vijf (50-50),Plant Protein,75990.61917216
Monitor 2024,Schijf van Vijf (50-50),Staples,373153.9759721682
Monitor 2024,Schijf van Vijf (50-50),Rice,42716.12880551373
Monitor 2024,Schijf van Vijf (50-50),Veg & Fruit,257997.08921327774
