Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
EAT-Lancet,Monitor 2024,Fish,75220.99806955413
EAT-Lancet,Monitor 2024,Plant Protein,180399.9619296
EAT-Lancet,Monitor 2024,Staples,381888.410491585
EAT-Lancet,Monitor 2024,Rice,85432.25761102745
EAT-Lancet,Monitor 2024,Veg & Fruit,433980.66083547
EAT-Lancet,Monitor 2024,Ultra-Processed,115017.23856806582
EAT-Lancet,Monitor 2024,Soups,29062.789919414998
EAT-Lancet,Monitor 2024,Beverages & Additions,8470.094703756
EAT-Lancet,Monitor 2024,Fats (Butter),5700.649033921191
EAT-Lancet,Monitor 2024,Oils (Plant-based),48274.280874225
EAT-Lancet,Monitor 2024,Condiments,10126.489393524
Schijf van Vijf (50-50),Monitor 2024,Red Meat,186143.20684855804
Schijf van Vijf (50-50),Monitor 2024,Poultry,43951.77104191308
Schijf van Vijf (50-50),Monitor 2024,Processed Meats,261904.657973944
Schijf van Vijf (50-50),Monitor 2024,Dairy (Milk & Milkproducts),304831.63371937495
Schijf van Vijf (50-50),Monitor 2024,Cheese & Eggs,102099.90660922337
Schijf van Vijf (50-50),Monitor 2024,Fish,67161.60541924476
Schijf van Vijf (50-50),Monitor 2024,Plant Protein,112070.61155808001
Schijf van Vijf (50-50),Monitor 2024,Staples,420404.7796547698
Schijf van Vijf (50-50),Monitor 2024,Rice,56954.83840735164
Schijf van Vijf (50-50),Monitor 2024,Veg & Fruit,384729.45223335
Schijf van Vijf (50-50),Monitor 2024,Ultra-Processed,186830.60327286125
Schijf van Vijf (50-50),Monitor 2024,Soups,36328.48739926875
Schijf van Vijf (50-50),Monitor 2024,Beverages & Additions,14391.651152235001
Schijf van Vijf (50-50),Monitor 2024,Fats (Butter),21459.507907485677
Schijf van Vijf (50-50),Monitor 2024,Oils (Plant-based),67047.6123253125
Schijf van Vijf (50-50),Monitor 2024,Condiments,13207.537669515
Mediterranean Diet,Monitor 2024,Red Meat,240764.33847298083
Mediterranean Diet,Monitor 2024,Poultry,35161.416833530464
Mediterranean Diet,Monitor 2024,Processed Meats,130952.328986972
Mediterranean Diet,Monitor 2024,Dairy (Milk & Milkproducts),243865.30697550002
Mediterranean Diet,Monitor 2024,Cheese & Eggs,98306.80856040074
Mediterranean Diet,Monitor 2024,Fish,94026.24758694267
Mediterranean Diet,Monitor 2024,Plant Protein,140783.999328
Mediterranean Diet,Monitor 2024,Staples,423062.5611592065
Mediterranean Diet,Monitor 2024,Rice,64074.19320827061
Mediterranean Diet,Monitor 2024,Veg & Fruit,447828.00175774505
Mediterranean Diet,Monitor 2024,Ultra-Processed,120475.57302615998
Mediterranean Diet,Monitor 2024,Soups,43594.18487912249
Mediterranean Diet,Monitor 2024,Beverages & Additions,18897.353014449
Mediterranean Diet,Monitor 2024,Fats (Butter),14083.202560854883
Mediterranean Diet,Monitor 2024,Oils (Plant-based),80457.134790375
Mediterranean Diet,Monitor 2024,Condiments,11383.842614266501
Monitor 2024,Amsterdam Theoretical,Red Meat,238829.66300226905
Monitor 2024,Amsterdam Theoretical,Poultry,43951.77104191308
Monitor 2024,Amsterdam Theoretical,Processed Meats,392856.98696091597
Monitor 2024,Amsterdam Theoretical,Dairy (Milk & Milkproducts),268251.83767305
Monitor 2024,Amsterdam Theoretical,Cheese & Eggs,127967.1198246801
Monitor 2024,Amsterdam Theoretical,Fish,59102.21276893539
Monitor 2024,Amsterdam Theoretical,Plant Protein,75990.61917216
Monitor 2024,Amsterdam Theoretical,Staples,373153.9759721682
Monitor 2024,Amsterdam Theoretical,Rice,42716.12880551373
Monitor 2024,Amsterdam Theoretical,Veg & Fruit,257997.08921327774
Monitor 2024,Amsterdam Theoretical,Ultra-Processed,250456.4662905154
Monitor 2024,Amsterdam Theoretical,Soups,29062.789919414998
Monitor 2024,Amsterdam Theoretical,Beverages & Additions,16927.673000594998
Monitor 2024,Amsterdam Theoretical,Fats (Butter),33530.21410773477
Monitor 2024,Amsterdam Theoretical,Oils (Plant-based),67047.6123253125
Monitor 2024,Amsterdam Theoretical,Condiments,15376.73841788175
Metropolitan,Amsterdam Theoretical,Red Meat,663802.5328530963
Metropolitan,Amsterdam Theoretical,Poultry,105484.2505005914
Metropolitan,Amsterdam Theoretical,Processed Meats,785713.9739218319
Metropolitan,Amsterdam Theoretical,Dairy (Milk & Milkproducts),243865.30697550002
Metropolitan,Amsterdam Theoretical,Cheese & Eggs,163844.68093400123
Metropolitan,Amsterdam Theoretical,Fish,40296.963251546855
Metropolitan,Amsterdam Theoretical,Plant Protein,22787.363612160003
Metropolitan,Amsterdam Theoretical,Staples,358451.7374050731
Metropolitan,Amsterdam Theoretical,Rice,28477.41920367582
Metropolitan,Amsterdam Theoretical,Veg & Fruit,177589.363536039
Metropolitan,Amsterdam Theoretical,Ultra-Processed,536111.5161778267
Metropolitan,Amsterdam Theoretical,Soups,21797.092439561246
Metropolitan,Amsterdam Theoretical,Beverages & Additions,25951.59313194
Metropolitan,Amsterdam Theoretical,Fats (Butter),73763.05346630795
Metropolitan,Amsterdam Theoretical,Oils (Plant-based),107276.17972049999
Metropolitan,Amsterdam Theoretical,Condiments,23928.87185961825
Metabolic Balance,Amsterdam Theoretical,Red Meat,971720.3971866004
Metabolic Balance,Amsterdam Theoretical,Poultry,140645.66733412186
Metabolic Balance,Amsterdam Theoretical,Processed Meats,196428.49348045798
Metabolic Balance,Amsterdam Theoretical,Dairy (Milk & Milkproducts),60966.326743875004
Metabolic Balance,Amsterdam Theoretical,Cheese & Eggs,201775.66142222763
Metabolic Balance,Amsterdam Theoretical,Fish,107458.5686707916
Metabolic Balance,Amsterdam Theoretical,Plant Protein,49110.69744
Metabolic Balance,Amsterdam Theoretical,Staples,87303.21729950538
Metabolic Balance,Amsterdam Theoretical,Rice,14238.70960183791
Metabolic Balance,Amsterdam Theoretical,Veg & Fruit,266241.53901985503
Metabolic Balance,Amsterdam Theoretical,Ultra-Processed,42307.82786861583
Metabolic Balance,Amsterdam Theoretical,Soups,43594.18487912249
Metabolic Balance,Amsterdam Theoretical,Beverages & Additions,15807.505738499998
Metabolic Balance,Amsterdam Theoretical,Fats (Butter),97567.62581890993
Metabolic Balance,Amsterdam Theoretical,Oils (Plant-based),93866.6572554375
Metabolic Balance,Amsterdam Theoretical,Condiments,11950.184448772501
Dutch Goal,Amsterdam Theoretical,Red Meat,186143.20684855804
Dutch Goal,Amsterdam Theoretical,Poultry,31645.27515017742
Dutch Goal,Amsterdam Theoretical,Processed Meats,196428.49348045798
Dutch Goal,Amsterdam Theoretical,Dairy (Milk & Milkproducts),219478.77627795
Dutch Goal,Amsterdam Theoretical,Cheese & Eggs,81922.34046700061
Dutch Goal,Amsterdam Theoretical,Fish,32237.570601237487
Dutch Goal,Amsterdam Theoretical,Plant Protein,195951.68278560002
Dutch Goal,Amsterdam Theoretical,Staples,446472.77632013615
Dutch Goal,Amsterdam Theoretical,Rice,56954.83840735164
Dutch Goal,Amsterdam Theoretical,Veg & Fruit,365028.968792502
Dutch Goal,Amsterdam Theoretical,Ultra-Processed,169559.55390392416
Dutch Goal,Amsterdam Theoretical,Soups,36328.48739926875
Dutch Goal,Amsterdam Theoretical,Beverages & Additions,14391.651152235001
Dutch Goal,Amsterdam Theoretical,Fats (Butter),19447.011546879883
Dutch Goal,Amsterdam Theoretical,Oils (Plant-based),59001.898846275
Dutch Goal,Amsterdam Theoretical,Condiments,12641.195835009
Amsterdam Goal,Amsterdam Theoretical,Red Meat,88971.16712989804
