Diet,Scope1+2_share_pct,Scope3_share_pct
Monitor 2024,34.946244316582,65.05375568341799
Metropolitan,37.01091635982883,62.98908364017116
Dutch Goal,34.845114838574304,65.1548851614257
Amsterdam Goal,34.316343726830226,65.68365627316979
EAT-Lancet,31.25800643387771,68.74199356612229
Schijf van Vijf (50-50),34.496881762296105,65.50311823770389
Mediterranean Diet,32.463649086078846,67.53635091392115
