Diet,Category,Mass_share_pct,Emissions_share_pct,Gap_pct
Monitor 2024,Red Meat,4.8749198203976905,34.5146241442531,29.63970432385541
Monitor 2024,Poultry,2.886465683130212,3.4430138426753576,0.5565481595451458
Monitor 2024,Dairy (Milk & Milkproducts),14.111610006414368,10.731149928611789,-3.3804600778025797
Monitor 2024,Cheese & Eggs,4.041051956382296,5.245825010856215,1.204773054473919
Monitor 2024,Fish,1.4111610006414368,2.3643256718680004,0.9531646712265636
Monitor 2024,Plant Protein,3.207184092366902,2.5407010710379185,-0.6664830213289834
Monitor 2024,Staples,29.185375240538807,13.202858599792359,-15.982516640746448
Monitor 2024,Rice,5.131494547787043,4.054909498383337,-1.0765850494037066
Monitor 2024,Veg & Fruit,19.563822963438103,8.655449077249518,-10.908373886188585
Monitor 2024,Ultra-Processed,7.6972418216805645,9.336979475409915,1.6397376537293509
Monitor 2024,Soups,1.2828736369467608,1.1169334357126848,-0.16594020123407605
Monitor 2024,Beverages & Additions,2.5657472738935216,0.6144977120527753,-1.9512495618407464
Monitor 2024,Fats (Butter),1.2828736369467608,1.2468021833807181,-0.03607145356604269
Monitor 2024,Oils (Plant-based),1.603592046183451,2.386733135096917,0.7831410889134662
Monitor 2024,Condiments,1.1545862732520846,0.545197213619393,-0.6093890596326916
Metropolitan,Red Meat,8.453350031308704,46.25878507548784,37.80543504417914
Metropolitan,Poultry,3.757044458359424,3.366345433079948,-0.390699025279476
Metropolitan,Dairy (Milk & Milkproducts),12.523481527864746,7.214286333203096,-5.30919519466165
Metropolitan,Cheese & Eggs,5.009392611145898,4.966912495964543,-0.042480115181355416
Metropolitan,Fish,0.939261114589856,1.1921081963677125,0.25284708177785653
Metropolitan,Plant Protein,0.939261114589856,0.5712634221996724,-0.36799769239018354
Metropolitan,Staples,26.29931120851597,9.462480083458807,-16.836831125057163
Metropolitan,Rice,1.2523481527864746,0.7592894345954684,-0.4930587181910062
Metropolitan,Veg & Fruit,13.149655604257985,4.493832984647214,-8.65582261961077
Metropolitan,Ultra-Processed,16.28052598622417,14.864202336362473,-1.4163236498616971
Metropolitan,Soups,0.939261114589856,0.6221130174997822,-0.31714809709007374
Metropolitan,Beverages & Additions,3.757044458359424,0.7055381347890252,-3.0515063235703987
Metropolitan,Fats (Butter),2.504696305572949,2.025503230594024,-0.47919307497892527
Metropolitan,Oils (Plant-based),2.504696305572949,2.8602897356311825,0.3555934300582333
Metropolitan,Condiments,1.6906700062617408,0.6370500861191895,-1.0536199201425513
Mediterranean Diet,Red Meat,2.2326674500587544,19.25706739058587,17.024399940527115
Mediterranean Diet,Poultry,1.1750881316098707,1.8215641987178985,0.6464760671080279
Mediterranean Diet,Dairy (Milk & Milkproducts),11.750881316098708,11.711174000202929,-0.039707315895778805
Mediterranean Diet,Cheese & Eggs,2.82021151586369,4.837765549973391,2.0175540341097014
Mediterranean Diet,Fish,2.056404230317274,4.515434194940547,2.4590299646232734
Mediterranean Diet,Plant Protein,5.875440658049354,5.60537028688127,-0.2700703711680843
Mediterranean Diet,Staples,30.25851938895417,18.195764386611355,-12.062755002342815
Mediterranean Diet,Rice,2.6439482961222094,2.773300520289874,0.1293522241676648
Mediterranean Diet,Veg & Fruit,30.552291421856637,18.412854628512886,-12.139436793343751
Mediterranean Diet,Ultra-Processed,3.231492361927144,5.40447905758163,2.1729866956544863
Mediterranean Diet,Soups,1.762632197414806,2.0197905819733237,0.2571583845585177
Mediterranean Diet,Beverages & Additions,2.526439482961222,0.8352595024814333,-1.6911799804797887
Mediterranean Diet,Fats (Butter),0.5287896592244419,0.638178845407837,0.1093891861833951
Mediterranean Diet,Oils (Plant-based),1.762632197414806,3.482397555126421,1.719765357711615
Mediterranean Diet,Condiments,0.8225616921269095,0.48959930071332936,-0.3329623914135802
