Diet,Scope 1+2,Scope 3,Total
Monitor 2024 (Current),1750000.0000000002,1813071.881112042,3563071.8811120423
Amsterdam Theoretical,1559063.540356576,1741194.622252605,3300258.162609181
Metropolitan (High Risk),2433777.70338847,2457050.1967020347,4890827.900090504
Metabolic Balance,1708452.411589452,1606354.2355623741,3314806.647151826
Dutch Goal (60:40),1135063.1657390264,1595697.3716568763,2730760.537395903
Amsterdam Goal (70:30),906347.6281379621,1441492.0730866203,2347839.7012245823
EAT-Lancet (Planetary),908336.7507458609,1456122.0812081047,2364458.8319539656
Schijf van 5 (Guideline),1391801.3515697545,1751968.5104515667,3143769.8620213214
Mediterranean Diet,1180635.2161467196,1648088.9387220952,2828724.154868815
