diet,GHG Emissions,Water Use,Land Use
Metropolitan (High Risk),35.51863124119554,-13.459876412029123,38.33096697808928
Mediterranean Diet,-9.09963604359447,20.063625863793252,-8.335556079020744
Dutch Goal (60:40),-11.989293514487628,18.209670961076334,-10.2441411890482
Amsterdam Goal (70:30),-20.494488491957327,21.60929672573568,-16.75303563546388
EAT-Lancet (Planetary),-19.68757022942761,33.121847296631884,-17.30870920815355
Schijf van 5 (Guideline),-3.370157096198371,11.69768908827038,-4.187831408190813
