diet,scope12_current,scope3_current,scope12_goal_avg,scope3_goal_avg,total_current,total_goal_avg,reduction_pct
1. Monitor 2024 (Current),1904586.8163652448,1813071.881112042,1176730.2410464017,1557910.704541645,3717658.6974772867,2734640.9455880467,26.441850419359152
3. Metropolitan (High Risk),2513381.833851643,2305010.8099277597,1176730.2410464017,1557910.704541645,4818392.643779403,2734640.9455880467,43.24578448129382
9. Mediterranean Diet,1291696.2305939558,1655690.908060809,1176730.2410464017,1557910.704541645,2947387.1386547647,2734640.9455880467,7.2181285680651674
