Parameter,Emission_Change_kton,Absolute_Impact_kton,Baseline_Emissions_kton
Impact Factors (+10%),356307.1881112042,356307.1881112042,3563071.881112042
Impact Factors (-10%),-356307.1881112042,356307.1881112042,3563071.881112042
Diet Adherence (+20%),427568.625733445,427568.625733445,3563071.881112042
Diet Adherence (-20%),-427568.625733445,427568.625733445,3563071.881112042
Waste Rate (+3%),142522.8752444817,142522.8752444817,3563071.881112042
Waste Rate (-3%),-142522.8752444817,142522.8752444817,3563071.881112042
