Diet,Category,Emissions_share_pct,Protein_share_pct
Monitor 2024,Red Meat,34.5146241442531,18.43959464261645
Monitor 2024,Poultry,3.4430138426753576,7.94049530064823
Monitor 2024,Dairy (Milk & Milkproducts),10.731149928611789,0.0
Monitor 2024,Cheese & Eggs,5.245825010856215,0.0
Monitor 2024,Fish,2.3643256718680004,5.39169433994633
Monitor 2024,Plant Protein,2.540701071037918,5.636771355398435
Monitor 2024,Staples,13.202858599792359,44.04646660212973
Monitor 2024,Rice,4.054909498383338,5.979879177031383
Monitor 2024,Veg & Fruit,8.655449077249516,4.484909382773537
Monitor 2024,Ultra-Processed,9.336979475409915,4.852524905951696
Monitor 2024,Soups,1.1169334357126846,0.0
Monitor 2024,Beverages & Additions,0.6144977120527753,1.2253850772605295
Monitor 2024,Fats (Butter),1.246802183380718,0.0
Monitor 2024,Oils (Plant-based),2.3867331350969168,0.6126925386302647
Monitor 2024,Condiments,0.545197213619393,1.3895866776134402
Amsterdam Theoretical,Red Meat,34.25289390946054,19.64313553196616
Amsterdam Theoretical,Poultry,2.196504476155205,5.714366700208337
Amsterdam Theoretical,Dairy (Milk & Milkproducts),13.113039241516708,0.0
Amsterdam Theoretical,Cheese & Eggs,5.634202142649392,0.0
Amsterdam Theoretical,Fish,1.1111969690386965,2.834507291770008
Amsterdam Theoretical,Plant Protein,1.8036538895735785,4.302782068906873
Amsterdam Theoretical,Staples,13.67182387807692,49.82355192108732
Amsterdam Theoretical,Rice,1.327039967276605,2.1613118099746313
Amsterdam Theoretical,Veg & Fruit,8.413940970454723,4.7619722501736135
Amsterdam Theoretical,Ultra-Processed,10.958708502850532,6.3138649924176935
Amsterdam Theoretical,Soups,1.449721807029761,0.0
Amsterdam Theoretical,Beverages & Additions,0.7500782866716436,1.6298416927677548
Amsterdam Theoretical,Fats (Butter),1.6241268594068343,0.0
Amsterdam Theoretical,Oils (Plant-based),2.9994244283374365,0.8503521875310024
Amsterdam Theoretical,Condiments,0.6936446715014427,1.9643135531966158
Metropolitan,Red Meat,46.25878507548784,29.949244266170687
Metropolitan,Poultry,3.3663454330799487,9.680563803206686
Metropolitan,Dairy (Milk & Milkproducts),7.214286333203096,0.0
Metropolitan,Cheese & Eggs,4.966912495964543,0.0
Metropolitan,Fish,1.1921081963677125,3.3613068761134333
Metropolitan,Plant Protein,0.5712634221996725,1.546201163012179
Metropolitan,Staples,9.462480083458809,37.176054049814574
Metropolitan,Rice,0.7592894345954684,1.3669314629527962
Metropolitan,Veg & Fruit,4.493832984647214,2.8234977759352837
Metropolitan,Ultra-Processed,14.864202336362473,9.61333766568442
Metropolitan,Soups,0.6221130174997823,0.0
Metropolitan,Beverages & Additions,0.7055381347890252,1.6806534380567166
Metropolitan,Fats (Butter),2.025503230594024,0.0
Metropolitan,Oils (Plant-based),2.8602897356311825,0.8963485002969156
Metropolitan,Condiments,0.6370500861191896,1.9058609987563166
Metabolic Balance,Red Meat,51.8950104761703,39.13971692891595
Metabolic Balance,Poultry,6.248183290714179,18.217759152368153
Metabolic Balance,Dairy (Milk & Milkproducts),2.5106705597522034,0.0
Metabolic Balance,Cheese & Eggs,8.476260424386373,0.0
Metabolic Balance,Fish,4.4252799728002605,12.651221633588994
Metabolic Balance,Plant Protein,1.659033409527888,4.364671463588203
Metabolic Balance,Staples,3.2403604521306284,13.742389499486046
Metabolic Balance,Rice,0.5284862678643759,0.9646556495611608
Metabolic Balance,Veg & Fruit,9.401189320658032,5.693049735115048
Metabolic Balance,Ultra-Processed,1.6429014936824118,1.0437257847710921
Metabolic Balance,Soups,1.7320308795471147,0.0
Metabolic Balance,Beverages & Additions,0.5928279383379652,1.5814027041986243
Metabolic Balance,Fats (Butter),3.723598489758315,0.0
Metabolic Balance,Oils (Plant-based),3.483970160008565,1.1069818929390371
Metabolic Balance,Condiments,0.44019686466139957,1.4944255554677
Dutch Goal,Red Meat,20.630741009001042,8.988083979572538
Dutch Goal,Poultry,1.706517955249735,3.268394174390013
Dutch Goal,Dairy (Milk & Milkproducts),10.971520368300364,0.0
Dutch Goal,Cheese & Eggs,4.196502074735472,0.0
Dutch Goal,Fish,1.6115233029551579,3.0262909022129763
Dutch Goal,Plant Protein,8.282343263833205,15.661055418952149
Dutch Goal,Staples,19.93523851635131,53.29424374251309
Dutch Goal,Rice,2.566068711855441,3.076729083916525
Dutch Goal,Veg & Fruit,15.61145849762563,6.5065254397578975
Dutch Goal,Ultra-Processed,7.946796758112976,3.3289199924342734
Dutch Goal,Soups,1.7520599707087585,0.0
Dutch Goal,Beverages & Additions,0.6578615981971585,1.1033352247651473
Dutch Goal,Fats (Butter),0.9059665373413928,0.0
Dutch Goal,Oils (Plant-based),2.6582978865925995,0.5548199987390455
Dutch Goal,Condiments,0.5671035491397547,1.1916020427463592
Amsterdam Goal,Red Meat,13.793954618916734,5.083701345383589
Amsterdam Goal,Poultry,1.1026902461590353,1.8486186710485777
Amsterdam Goal,Dairy (Milk & Milkproducts),7.089400060774355,0.0
Amsterdam Goal,Cheese & Eggs,4.235551424089529,0.0
Amsterdam Goal,Fish,2.34294330151061,3.8512888980178697
Amsterdam Goal,Plant Protein,11.180639743423873,18.89699085960768
Amsterdam Goal,Staples,22.85752637917005,54.25824175824175
Amsterdam Goal,Rice,3.730727001361245,3.915477046318167
Amsterdam Goal,Veg & Fruit,19.144503247817973,6.9323200164321666
Amsterdam Goal,Ultra-Processed,7.3600029434856244,2.668943206326384
Amsterdam Goal,Soups,2.44537455840807,0.0
