base_diet,goal_diet,category,base_pct,goal_pct,delta_pct
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),Veg & Fruit,19.563822963438103,26.595744680851062,7.03192171741296
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),Rice,5.131494547787043,2.3640661938534278,-2.7674283539336155
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),Ultra-Processed,7.697241821680564,5.319148936170213,-2.378092885510351
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),Red Meat,4.8749198203976905,3.1323877068557917,-1.7425321135418987
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),Poultry,2.886465683130212,1.4775413711583925,-1.4089243119718193
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),Plant Protein,3.207184092366902,4.432624113475177,1.2254400211082754
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),Staples,29.185375240538804,30.141843971631207,0.9564687310924036
1. Monitor 2024 (Current),8. Schijf van 5 (Guideline),Dairy (Milk & Milkproducts),14.111610006414368,14.775413711583923,0.6638037051695544
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),Veg & Fruit,19.563822963438103,29.258777633289988,9.694954669851885
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),Dairy (Milk & Milkproducts),14.111610006414368,6.501950585175553,-7.609659421238815
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),Plant Protein,3.207184092366902,10.403120936280883,7.195936843913982
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),Staples,29.185375240538804,34.78543563068921,5.600060390150404
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),Ultra-Processed,7.697241821680564,4.0962288686605985,-3.601012953019965
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),Red Meat,4.8749198203976905,1.3003901170351104,-3.57452970336258
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),Poultry,2.886465683130212,0.6501950585175552,-2.2362706246126565
1. Monitor 2024 (Current),6. Amsterdam Goal (70:30),Rice,5.131494547787043,3.2509752925877766,-1.8805192551992667
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),Veg & Fruit,19.563822963438103,30.998140111593305,11.434317148155202
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),Ultra-Processed,7.697241821680564,2.7898326100433977,-4.907409211637166
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),Plant Protein,3.207184092366902,7.749535027898326,4.542350935531424
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),Red Meat,4.8749198203976905,0.8679479231246126,-4.006971897273078
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),Cheese & Eggs,4.041051956382296,0.805951642901426,-3.2351003134808707
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),Rice,5.131494547787043,3.7197768133911966,-1.4117177343958467
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),Dairy (Milk & Milkproducts),14.111610006414368,15.499070055796652,1.387460049382284
1. Monitor 2024 (Current),7. EAT-Lancet (Planetary),Beverages & Additions,2.5657472738935216,1.3639181649101055,-1.201829108983416
1. Monitor 2024 (Current),5. Dutch Goal (60:40),Veg & Fruit,19.563822963438103,26.641883519206942,7.07806055576884
1. Monitor 2024 (Current),5. Dutch Goal (60:40),Plant Protein,3.207184092366902,8.364312267657994,5.157128175291092
1. Monitor 2024 (Current),5. Dutch Goal (60:40),Staples,29.185375240538804,33.147459727385375,3.962084486846571
1. Monitor 2024 (Current),5. Dutch Goal (60:40),Dairy (Milk & Milkproducts),14.111610006414368,11.152416356877323,-2.9591936495370454
1. Monitor 2024 (Current),5. Dutch Goal (60:40),Ultra-Processed,7.697241821680564,4.956629491945478,-2.740612329735086
1. Monitor 2024 (Current),5. Dutch Goal (60:40),Rice,5.131494547787043,2.478314745972739,-2.6531798018143045
1. Monitor 2024 (Current),5. Dutch Goal (60:40),Red Meat,4.8749198203976905,2.2304832713754648,-2.6444365490222257
1. Monitor 2024 (Current),5. Dutch Goal (60:40),Poultry,2.886465683130212,1.1152416356877324,-1.7712240474424794
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),Ultra-Processed,21.21390689451974,5.319148936170213,-15.89475795834953
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),Veg & Fruit,12.374779021803182,26.595744680851062,14.22096565904788
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),Staples,24.749558043606363,30.141843971631207,5.392285928024844
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),Red Meat,7.955215085444903,3.1323877068557917,-4.8228273785891105
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),Plant Protein,0.8839127872716559,4.432624113475177,3.5487113262035215
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),Dairy (Milk & Milkproducts),11.785503830288745,14.775413711583923,2.989909881295178
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),Poultry,3.5356511490866236,1.4775413711583925,-2.058109777928231
3. Metropolitan (High Risk),8. Schijf van 5 (Guideline),Fats (Butter),2.357100766057749,0.7683215130023641,-1.5887792530553853
3. Metropolitan (High Risk),6. Amsterdam Goal (70:30),Ultra-Processed,21.21390689451974,4.0962288686605985,-17.117678025859142
3. Metropolitan (High Risk),6. Amsterdam Goal (70:30),Veg & Fruit,12.374779021803182,29.258777633289988,16.883998611486806
3. Metropolitan (High Risk),6. Amsterdam Goal (70:30),Staples,24.749558043606363,34.78543563068921,10.035877587082844
3. Metropolitan (High Risk),6. Amsterdam Goal (70:30),Plant Protein,0.8839127872716559,10.403120936280883,9.519208149009227
