diet,category,scope3_share_pct
7. EAT-Lancet (Planetary),Cheese & Eggs,1.1556798578037202
7. EAT-Lancet (Planetary),Fish,3.5258936599680615
7. EAT-Lancet (Planetary),Plant Protein,11.098540521720404
7. EAT-Lancet (Planetary),Staples,21.137004516247607
7. EAT-Lancet (Planetary),Rice,4.6920078222755945
7. EAT-Lancet (Planetary),Veg & Fruit,25.4188806014248
7. EAT-Lancet (Planetary),Ultra-Processed,6.173130002577791
7. EAT-Lancet (Planetary),Soups,1.445730936382
7. EAT-Lancet (Planetary),Beverages & Additions,0.46045850512981573
7. EAT-Lancet (Planetary),Fats (Butter),0.28879235021927585
7. EAT-Lancet (Planetary),Oils (Plant-based),2.6512620620171474
7. EAT-Lancet (Planetary),Condiments,0.5627826173808859
8. Schijf van 5 (Guideline),Red Meat,18.516977659624484
8. Schijf van 5 (Guideline),Poultry,1.4893248195437292
8. Schijf van 5 (Guideline),Dairy (Milk & Milkproducts),11.968931781798947
8. Schijf van 5 (Guideline),Cheese & Eggs,3.842826415757471
8. Schijf van 5 (Guideline),Fish,2.6370382358645164
8. Schijf van 5 (Guideline),Plant Protein,5.606732731054508
8. Schijf van 5 (Guideline),Staples,19.53219837872167
8. Schijf van 5 (Guideline),Rice,2.6201895368713624
8. Schijf van 5 (Guideline),Veg & Fruit,18.892985180855504
8. Schijf van 5 (Guideline),Ultra-Processed,8.100315231806416
8. Schijf van 5 (Guideline),Soups,1.513779874253074
8. Schijf van 5 (Guideline),Beverages & Additions,0.6491695510903466
8. Schijf van 5 (Guideline),Fats (Butter),0.932976112192507
8. Schijf van 5 (Guideline),Oils (Plant-based),3.0845044459702136
8. Schijf van 5 (Guideline),Condiments,0.612050044595252
9. Mediterranean Diet,Red Meat,13.224472762116562
9. Mediterranean Diet,Poultry,1.2509291078333116
9. Mediterranean Diet,Dairy (Milk & Milkproducts),10.053068987402257
9. Mediterranean Diet,Cheese & Eggs,3.8782670026096318
9. Mediterranean Diet,Fish,3.876124756495457
9. Mediterranean Diet,Plant Protein,7.528730078671295
9. Mediterranean Diet,Staples,20.606742104821517
9. Mediterranean Diet,Rice,3.094842232608486
9. Mediterranean Diet,Veg & Fruit,23.079100622929246
9. Mediterranean Diet,Ultra-Processed,5.535463102512818
9. Mediterranean Diet,Soups,1.9072044755175248
9. Mediterranean Diet,Beverages & Additions,0.8868844032674784
9. Mediterranean Diet,Fats (Butter),0.6375039295764664
9. Mediterranean Diet,Oils (Plant-based),3.886153320020035
9. Mediterranean Diet,Condiments,0.5545131136179016
