Diet,Category,Total_emissions_tonnes_per_year
Schijf van 5 (Guideline),Soups,47844.56227162499
Schijf van 5 (Guideline),Beverages & Additions,17964.624914250002
Schijf van 5 (Guideline),Fats (Butter),27486.993937891162
Schijf van 5 (Guideline),Oils (Plant-based),82490.62460625
Schijf van 5 (Guideline),Condiments,16160.82992286
Mediterranean Diet,Red Meat,547390.9829033553
Mediterranean Diet,Poultry,51778.798761705824
Mediterranean Diet,Dairy (Milk & Milkproducts),332895.498411
Mediterranean Diet,Cheese & Eggs,137515.70712945194
Mediterranean Diet,Fish,128353.29035677889
Mediterranean Diet,Plant Protein,159335.22423945
Mediterranean Diet,Staples,517222.95769366523
Mediterranean Diet,Rice,78832.34071403823
Mediterranean Diet,Veg & Fruit,523393.84750170005
Mediterranean Diet,Ultra-Processed,139803.03636874864
Mediterranean Diet,Soups,57413.47472594999
Mediterranean Diet,Beverages & Additions,23742.63488667
Mediterranean Diet,Fats (Butter),18140.526715230873
Mediterranean Diet,Oils (Plant-based),98988.74952749998
Mediterranean Diet,Condiments,13917.08493357
