Label,Value_kton
Baseline,3563071.8811120423
"Diet Adherence
(+20%)",427568.62573344505
"Diet Adherence
(-20%)",-427568.62573344505
"Impact Factors
(+10%)",356307.18811120425
"Impact Factors
(-10%)",-356307.18811120425
Final,3563071.8811120423
