Diet,Scope 1+2 (kton),Scope 3 (kton),Total (kton),S1+2 %,S3 %
Monitor 2024,1750000,1813072,3563072,49.1%,50.9%
Dutch Goal,1135063,1595697,2730761,41.6%,58.4%
Amsterdam Goal,906348,1441492,2347840,38.6%,61.4%
EAT-Lancet,908337,1456122,2364459,38.4%,61.6%
