Diet,Food_Type,CO2_pct,Land_pct,Water_pct
Monitor 2024,Plant-based,28.453918246463132,37.651950344792425,72.31644359426713
Monitor 2024,Animal,40.32196365879646,29.034424272614494,11.312222658115175
Monitor 2024,Dairy,0.0,0.0,0.0
Monitor 2024,Processed,28.83738495964349,28.070629724956824,12.14220013610422
Monitor 2024,Oils,2.386733135096917,5.242995657636267,4.229133611513463
Monitor 2024,Fats,0.0,0.0,0.0
Dutch Goal,Plant-based,46.39510898966559,57.57544156301737,84.80667714616686
Dutch Goal,Animal,23.94878226720593,15.251001116174107,4.4453574455337215
Dutch Goal,Dairy,0.0,0.0,0.0
Dutch Goal,Processed,26.99781085653588,22.033128339522957,7.599629449089022
Dutch Goal,Oils,2.6582978865925995,5.140428981285562,3.148335959210391
Dutch Goal,Fats,0.0,0.0,0.0
Amsterdam Goal,Plant-based,56.91339637177314,66.45392119957343,88.95128549079217
Amsterdam Goal,Animal,17.23958816658638,10.091174919211285,2.6758061073335933
Amsterdam Goal,Dairy,0.0,0.0,0.0
Amsterdam Goal,Processed,23.03624010714843,18.41640601150094,5.590796359206045
Amsterdam Goal,Oils,2.8107753544920344,5.038497869714349,2.7821120426681794
Amsterdam Goal,Fats,0.0,0.0,0.0
Metabolic Balance,Plant-based,14.829069450180924,20.176889543463822,57.6876587100843
Metabolic Balance,Animal,62.56847373968474,49.17234315398301,20.908395773568888
Metabolic Balance,Dairy,0.0,0.0,0.0
Metabolic Balance,Processed,19.118486650125785,23.11349898031832,14.330752852786489
Metabolic Balance,Oils,3.483970160008565,7.537268322234862,7.0731926635603095
Metabolic Balance,Fats,0.0,0.0,0.0
EAT-Lancet,Plant-based,54.2044355305247,65.36541567861772,89.28387510327087
EAT-Lancet,Animal,15.275746985722222,11.595365636901272,2.801735476296791
EAT-Lancet,Dairy,0.0,0.0,0.0
EAT-Lancet,Processed,28.007900214826993,18.474098419276086,5.627029184584161
EAT-Lancet,Oils,2.5119172689260996,4.565120265204922,2.2873602358481806
EAT-Lancet,Fats,0.0,0.0,0.0
Schijf van Vijf (50-50),Plant-based,37.31630077568193,48.75065361647127,79.57835483631811
Schijf van Vijf (50-50),Animal,30.869802085907594,21.35375893105346,6.994896844034268
Schijf van Vijf (50-50),Dairy,0.0,0.0,0.0
Schijf van Vijf (50-50),Processed,29.16441733401819,24.36673503079666,9.6332617949261
Schijf van Vijf (50-50),Oils,2.649479804392288,5.528852421678616,3.7934865247215193
Schijf van Vijf (50-50),Fats,0.0,0.0,0.0
Amsterdam Theoretical,Plant-based,25.21645870538182,33.898415252599,64.96046377919893
Amsterdam Theoretical,Animal,37.56059535465444,26.137579861962447,11.87556045342843
Amsterdam Theoretical,Dairy,0.0,0.0,0.0
Amsterdam Theoretical,Processed,34.22352151162631,33.347887527418926,16.93570595732041
Amsterdam Theoretical,Oils,2.999424428337436,6.616117358019627,6.22826981005223
Amsterdam Theoretical,Fats,0.0,0.0,0.0
Metropolitan,Plant-based,15.286865924901166,19.837869728784028,47.77727616905595
Metropolitan,Animal,50.817238704935505,36.94778308928211,22.226928283416967
Metropolitan,Dairy,0.0,0.0,0.0
Metropolitan,Processed,31.03560563453214,36.75590774833819,21.876018789322657
Metropolitan,Oils,2.8602897356311834,6.45843943359567,8.11977675820442
Metropolitan,Fats,0.0,0.0,0.0
Mediterranean Diet,Plant-based,44.987289822295374,55.73628313220902,83.41522218277561
Mediterranean Diet,Animal,25.594065784244318,17.390991077685864,5.029306455774388
Mediterranean Diet,Dairy,0.0,0.0,0.0
Mediterranean Diet,Processed,25.936246838333876,20.04046329022879,7.3342133294992715
Mediterranean Diet,Oils,3.48239755512642,6.832262499876323,4.221258031950741
Mediterranean Diet,Fats,0.0,0.0,0.0
