diet,GHG Emissions,Water Use,Land Use
Metropolitan,27.13289715319997,-16.665026885321804,29.888855325963092
Amsterdam Theoretical,-3.964391021019603,-18.51733324678176,-4.905030417314723
Schijf van Vijf (50-50),-4.122318021457605,11.484081568575672,-5.1702730013466205
Mediterranean Diet,-8.680349339194693,20.22388338745788,-7.913450496414424
Metabolic Balance,-11.401514065889051,-16.292580483187297,-2.6146661246318823
Dutch Goal,-11.989293514487628,18.209670961076334,-10.2441411890482
EAT-Lancet,-19.68757022942761,33.121847296631884,-17.30870920815355
Amsterdam Goal,-20.494488491957327,21.60929672573568,-16.75303563546388
