Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
EAT-Lancet (Planetary),Monitor 2024 (Current),Plant Protein,202010.37403575
EAT-Lancet (Planetary),Monitor 2024 (Current),Staples,467112.40397981653
EAT-Lancet (Planetary),Monitor 2024 (Current),Rice,105109.78761871762
EAT-Lancet (Planetary),Monitor 2024 (Current),Veg & Fruit,507408.99757800007
EAT-Lancet (Planetary),Monitor 2024 (Current),Ultra-Processed,143915.5074917412
EAT-Lancet (Planetary),Monitor 2024 (Current),Soups,38275.6498173
EAT-Lancet (Planetary),Monitor 2024 (Current),Beverages & Additions,10500.13994988
EAT-Lancet (Planetary),Monitor 2024 (Current),Fats (Butter),7420.450865490437
EAT-Lancet (Planetary),Monitor 2024 (Current),Oils (Plant-based),59393.249716499995
EAT-Lancet (Planetary),Monitor 2024 (Current),Condiments,12347.92994106
Schijf van 5 (Guideline),Monitor 2024 (Current),Red Meat,804716.0425742733
Schijf van 5 (Guideline),Monitor 2024 (Current),Poultry,64723.49845213227
Schijf van 5 (Guideline),Monitor 2024 (Current),Dairy (Milk & Milkproducts),416119.37301374995
Schijf van 5 (Guideline),Monitor 2024 (Current),Cheese & Eggs,172998.5164202614
Schijf van 5 (Guideline),Monitor 2024 (Current),Fish,91680.92168341347
Schijf van 5 (Guideline),Monitor 2024 (Current),Plant Protein,128868.686884875
Schijf van 5 (Guideline),Monitor 2024 (Current),Staples,513405.81231170555
Schijf van 5 (Guideline),Monitor 2024 (Current),Rice,70073.19174581175
Schijf van 5 (Guideline),Monitor 2024 (Current),Veg & Fruit,449482.2478545
Schijf van 5 (Guideline),Monitor 2024 (Current),Ultra-Processed,239753.9354277223
Schijf van 5 (Guideline),Monitor 2024 (Current),Soups,47844.56227162499
Schijf van 5 (Guideline),Monitor 2024 (Current),Beverages & Additions,17964.624914250002
Schijf van 5 (Guideline),Monitor 2024 (Current),Fats (Butter),27486.993937891162
Schijf van 5 (Guideline),Monitor 2024 (Current),Oils (Plant-based),82490.62460625
Schijf van 5 (Guideline),Monitor 2024 (Current),Condiments,16160.82992286
Mediterranean Diet,Monitor 2024 (Current),Red Meat,547390.9829033553
Mediterranean Diet,Monitor 2024 (Current),Poultry,51778.798761705824
Mediterranean Diet,Monitor 2024 (Current),Dairy (Milk & Milkproducts),332895.498411
Mediterranean Diet,Monitor 2024 (Current),Cheese & Eggs,137515.70712945194
Mediterranean Diet,Monitor 2024 (Current),Fish,128353.29035677889
Mediterranean Diet,Monitor 2024 (Current),Plant Protein,159335.22423945
Mediterranean Diet,Monitor 2024 (Current),Staples,517222.95769366523
Mediterranean Diet,Monitor 2024 (Current),Rice,78832.34071403823
Mediterranean Diet,Monitor 2024 (Current),Veg & Fruit,523393.84750170005
Mediterranean Diet,Monitor 2024 (Current),Ultra-Processed,139803.03636874864
Mediterranean Diet,Monitor 2024 (Current),Soups,57413.47472594999
Mediterranean Diet,Monitor 2024 (Current),Beverages & Additions,23742.63488667
Mediterranean Diet,Monitor 2024 (Current),Fats (Butter),18140.526715230873
Mediterranean Diet,Monitor 2024 (Current),Oils (Plant-based),98988.74952749998
Mediterranean Diet,Monitor 2024 (Current),Condiments,13917.08493357
Monitor 2024 (Current),Amsterdam Theoretical,Red Meat,1229780.86775539
Monitor 2024 (Current),Amsterdam Theoretical,Poultry,122677.05809116087
Monitor 2024 (Current),Amsterdam Theoretical,Dairy (Milk & Milkproducts),382358.58562634164
Monitor 2024 (Current),Amsterdam Theoretical,Cheese & Eggs,186912.51589416055
Monitor 2024 (Current),Amsterdam Theoretical,Fish,84242.62319224208
Monitor 2024 (Current),Amsterdam Theoretical,Plant Protein,90527.00544526456
Monitor 2024 (Current),Amsterdam Theoretical,Staples,470427.3422721846
Monitor 2024 (Current),Amsterdam Theoretical,Rice,144479.34014143806
Monitor 2024 (Current),Amsterdam Theoretical,Veg & Fruit,308399.87225544924
Monitor 2024 (Current),Amsterdam Theoretical,Ultra-Processed,332683.29023353336
Monitor 2024 (Current),Amsterdam Theoretical,Soups,39797.14117861731
Monitor 2024 (Current),Amsterdam Theoretical,Beverages & Additions,21894.99518822928
Monitor 2024 (Current),Amsterdam Theoretical,Fats (Butter),44424.45800912936
Monitor 2024 (Current),Amsterdam Theoretical,Oils (Plant-based),85041.01721382214
Monitor 2024 (Current),Amsterdam Theoretical,Condiments,19425.768615078945
Metropolitan (High Risk),Amsterdam Theoretical,Red Meat,2134561.9791548597
Metropolitan (High Risk),Amsterdam Theoretical,Poultry,155336.3962851175
Metropolitan (High Risk),Amsterdam Theoretical,Dairy (Milk & Milkproducts),332895.498411
Metropolitan (High Risk),Amsterdam Theoretical,Cheese & Eggs,229192.8452157532
Metropolitan (High Risk),Amsterdam Theoretical,Fish,55008.55301004808
Metropolitan (High Risk),Amsterdam Theoretical,Plant Protein,26360.337374175004
Metropolitan (High Risk),Amsterdam Theoretical,Staples,436635.98561225866
Metropolitan (High Risk),Amsterdam Theoretical,Rice,35036.59587290588
Metropolitan (High Risk),Amsterdam Theoretical,Veg & Fruit,207363.09901019998
Metropolitan (High Risk),Amsterdam Theoretical,Ultra-Processed,962327.9089803244
Metropolitan (High Risk),Amsterdam Theoretical,Soups,28706.737362974996
Metropolitan (High Risk),Amsterdam Theoretical,Beverages & Additions,32556.2998446
Metropolitan (High Risk),Amsterdam Theoretical,Fats (Butter),93464.67222660291
Metropolitan (High Risk),Amsterdam Theoretical,Oils (Plant-based),131984.99936999998
Metropolitan (High Risk),Amsterdam Theoretical,Condiments,29395.992359685
Metabolic Balance,Amsterdam Theoretical,Red Meat,1720219.2568042295
Metabolic Balance,Amsterdam Theoretical,Poultry,207115.1950468233
