Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
Amsterdam Theoretical,EAT-Lancet (Planetary),Oils (Plant-based),98988.74952749998
Amsterdam Theoretical,EAT-Lancet (Planetary),Condiments,22892.064890729995
Metropolitan (High Risk),EAT-Lancet (Planetary),Red Meat,2134561.9791548597
Metropolitan (High Risk),EAT-Lancet (Planetary),Poultry,155336.3962851175
Metropolitan (High Risk),EAT-Lancet (Planetary),Dairy (Milk & Milkproducts),332895.498411
Metropolitan (High Risk),EAT-Lancet (Planetary),Cheese & Eggs,229192.8452157532
Metropolitan (High Risk),EAT-Lancet (Planetary),Fish,55008.55301004808
Metropolitan (High Risk),EAT-Lancet (Planetary),Plant Protein,26360.337374175004
Metropolitan (High Risk),EAT-Lancet (Planetary),Staples,436635.98561225866
Metropolitan (High Risk),EAT-Lancet (Planetary),Rice,35036.59587290588
Metropolitan (High Risk),EAT-Lancet (Planetary),Veg & Fruit,207363.09901019998
Metropolitan (High Risk),EAT-Lancet (Planetary),Ultra-Processed,962327.9089803244
Metropolitan (High Risk),EAT-Lancet (Planetary),Soups,28706.737362974996
Metropolitan (High Risk),EAT-Lancet (Planetary),Beverages & Additions,32556.2998446
Metropolitan (High Risk),EAT-Lancet (Planetary),Fats (Butter),93464.67222660291
Metropolitan (High Risk),EAT-Lancet (Planetary),Oils (Plant-based),131984.99936999998
Metropolitan (High Risk),EAT-Lancet (Planetary),Condiments,29395.992359685
Monitor 2024 (Current),Schijf van 5 (Guideline),Red Meat,1229780.86775539
Monitor 2024 (Current),Schijf van 5 (Guideline),Poultry,122677.05809116087
Monitor 2024 (Current),Schijf van 5 (Guideline),Dairy (Milk & Milkproducts),382358.58562634164
Monitor 2024 (Current),Schijf van 5 (Guideline),Cheese & Eggs,186912.51589416055
Monitor 2024 (Current),Schijf van 5 (Guideline),Fish,84242.62319224208
Monitor 2024 (Current),Schijf van 5 (Guideline),Plant Protein,90527.00544526456
Monitor 2024 (Current),Schijf van 5 (Guideline),Staples,470427.3422721846
Monitor 2024 (Current),Schijf van 5 (Guideline),Rice,144479.34014143806
Monitor 2024 (Current),Schijf van 5 (Guideline),Veg & Fruit,308399.87225544924
Monitor 2024 (Current),Schijf van 5 (Guideline),Ultra-Processed,332683.29023353336
Monitor 2024 (Current),Schijf van 5 (Guideline),Soups,39797.14117861731
Monitor 2024 (Current),Schijf van 5 (Guideline),Beverages & Additions,21894.99518822928
Monitor 2024 (Current),Schijf van 5 (Guideline),Fats (Butter),44424.45800912936
Monitor 2024 (Current),Schijf van 5 (Guideline),Oils (Plant-based),85041.01721382214
Monitor 2024 (Current),Schijf van 5 (Guideline),Condiments,19425.768615078945
Amsterdam Theoretical,Schijf van 5 (Guideline),Red Meat,1130433.927176834
Amsterdam Theoretical,Schijf van 5 (Guideline),Poultry,72490.31826638816
Amsterdam Theoretical,Schijf van 5 (Guideline),Dairy (Milk & Milkproducts),432764.1479343
Amsterdam Theoretical,Schijf van 5 (Guideline),Cheese & Eggs,185943.21611068788
Amsterdam Theoretical,Schijf van 5 (Guideline),Fish,36672.36867336539
Amsterdam Theoretical,Schijf van 5 (Guideline),Plant Protein,59525.23471586999
Amsterdam Theoretical,Schijf van 5 (Guideline),Staples,451205.4835137845
Amsterdam Theoretical,Schijf van 5 (Guideline),Rice,43795.74484113234
Amsterdam Theoretical,Schijf van 5 (Guideline),Veg & Fruit,277681.77367455006
Amsterdam Theoretical,Schijf van 5 (Guideline),Ultra-Processed,361665.67188187095
Amsterdam Theoretical,Schijf van 5 (Guideline),Soups,47844.56227162499
Amsterdam Theoretical,Schijf van 5 (Guideline),Beverages & Additions,24754.519881840002
Amsterdam Theoretical,Schijf van 5 (Guideline),Fats (Butter),53600.37924870217
Amsterdam Theoretical,Schijf van 5 (Guideline),Oils (Plant-based),98988.74952749998
Amsterdam Theoretical,Schijf van 5 (Guideline),Condiments,22892.064890729995
Metropolitan (High Risk),Schijf van 5 (Guideline),Red Meat,2134561.9791548597
Metropolitan (High Risk),Schijf van 5 (Guideline),Poultry,155336.3962851175
Metropolitan (High Risk),Schijf van 5 (Guideline),Dairy (Milk & Milkproducts),332895.498411
Metropolitan (High Risk),Schijf van 5 (Guideline),Cheese & Eggs,229192.8452157532
Metropolitan (High Risk),Schijf van 5 (Guideline),Fish,55008.55301004808
Metropolitan (High Risk),Schijf van 5 (Guideline),Plant Protein,26360.337374175004
Metropolitan (High Risk),Schijf van 5 (Guideline),Staples,436635.98561225866
Metropolitan (High Risk),Schijf van 5 (Guideline),Rice,35036.59587290588
Metropolitan (High Risk),Schijf van 5 (Guideline),Veg & Fruit,207363.09901019998
Metropolitan (High Risk),Schijf van 5 (Guideline),Ultra-Processed,962327.9089803244
Metropolitan (High Risk),Schijf van 5 (Guideline),Soups,28706.737362974996
Metropolitan (High Risk),Schijf van 5 (Guideline),Beverages & Additions,32556.2998446
Metropolitan (High Risk),Schijf van 5 (Guideline),Fats (Butter),93464.67222660291
Metropolitan (High Risk),Schijf van 5 (Guideline),Oils (Plant-based),131984.99936999998
Metropolitan (High Risk),Schijf van 5 (Guideline),Condiments,29395.992359685
