Diet,Scope 1+2 (kton),Scope 3 (kton),Total (kton),S1+2 %,S3 %
Current,0,0,0,0%,0%
60:40,0,0,0,0%,0%
70:30,0,0,0,0%,0%
Planetary,0,0,0,0%,0%
